,_id,ltable_Id,rtable_Id,ltable_Name,ltable_Street,ltable_Address,ltable_Phone,ltable_Cuisines,ltable_Take Out,rtable_Name,rtable_Street,rtable_Address,rtable_Phone,rtable_Cuisines,rtable_Take Out,label
81,81,204,2876,rainbow room,30 rockefeller plz ,"30 rockefeller plz new york city, ny 10112-0015",+1 212-632-5000,American;Contemporary;Vegetarian Friendly,No,rainbow room,30 rockefeller plzfl 65,30 rockefeller plzfl 65new york ny 10112,(212) 632-5000,American (New);Venues & Event Spaces,No,1
83,83,206,2084,locanda verde,377 greenwich st ,"377 greenwich st new york city, ny 10013-2338",+1 212-925-3797,American;Italian;Vegetarian Friendly,Yes,locanda verde,377 greenwich st,377 greenwich stnew york ny 10013,(212) 925-3797,Italian;Delis;Cocktail Bars,Yes,1
88,88,220,2653,delmonico's kitchen,207 w 36th st ,"207 w 36th st new york city, ny 10018-7503",+1 212-695-5220,American;Steakhouse;Gluten Free Options,No,delmonico’s kitchen,207 w 36th st,207 w 36th stnew york ny 10018,(212) 695-5220,Steakhouses,No,1
90,90,234,676,park italian gourmet,60 w 45th st frnt 1 ,"60 w 45th st frnt 1 new york city, ny 10036-4207",+1 212-382-0580,Italian;Delicatessen,No,park italian gourmet,60 w 45th st,60 w 45th stnew york ny 10036,(212) 382-0580,Italian;Delis;Sandwiches,Yes,1
93,93,241,1700,le district,225 liberty st ,"225 liberty st new york city, ny 10281-1048",+1 212-981-8588,French;Vegetarian Friendly;Vegan Options,Yes,tartinery hudson eats,225 liberty st,225 liberty stnew york ny 10281,(646) 755-8484,French,Yes,0
94,94,241,3013,le district,225 liberty st ,"225 liberty st new york city, ny 10281-1048",+1 212-981-8588,French;Vegetarian Friendly;Vegan Options,Yes,l’appart,225 liberty st,225 liberty stnew york ny 10281,(212) 981-8577,French,No,0
95,95,249,2697,nocello,257 w 55th st ,"257 w 55th st new york city, ny 10019-5232",+1 212-713-0224,Italian;Vegetarian Friendly;Gluten Free Options,Yes,nocello,257 w 55th st,257 w 55th stnew york ny 10019,(212) 713-0224,Italian,No,1
100,100,266,2219,estela,47 e houston st ,"47 e houston st new york city, ny 10012-2749",+1 212-219-7693,Vegetarian Friendly;Gluten Free Options,No,estela,47 e houston st,47 e houston stnew york ny 10012,(212) 219-7693,American (New);Breakfast & Brunch;Cocktail Bars,No,1
104,104,275,2343,bryant park grill,25 w 40th st ,"25 w 40th st new york city, ny 10018-2601",+1 212-840-6500,American;Vegetarian Friendly;Vegan Options,No,bryant park hotel,40 w 40th st,40 w 40th stnew york ny 10018,(212) 869-0100,Hotels,No,0
105,105,275,2614,bryant park grill,25 w 40th st ,"25 w 40th st new york city, ny 10018-2601",+1 212-840-6500,American;Vegetarian Friendly;Vegan Options,No,bryant park grill,25 w 40th st,25 w 40th stnew york ny 10018,(212) 840-6500,Bars;American (New);Venues & Event Spaces,No,1
106,106,276,2357,the sea grill,19 w 49th st ,"19 w 49th st new york city, ny 10020-2206",+1 212-332-7610,American;Seafood;Soups,No,the sea grill,19 w 49th st,19 w 49th stnew york ny 10020,(212) 332-7610,Seafood;American (New);Sushi Bars,Yes,1
108,108,284,2273,vinegar hill house,"72 hudson ave brooklyn, ny 11201-122","72 hudson ave brooklyn, ny 11201-1222",+1 718-522-1018,American;Vegetarian Friendly;Gluten Free Options,No,vinegar hill house,72 hudson avebrooklyn ,72 hudson avebrooklyn ny 11201,(718) 522-1018,American (New),No,1
110,110,287,2383,subway,1285 avenue of the americas ,"1285 avenue of the americas new york city, ny 10019-6031",+1 212-245-1392,,No,48 lounge,1221 avenue of the americas,1221 avenue of the americasnew york ny 10020,(212) 554-4848,Lounges;Venues & Event Spaces,No,0
113,113,292,1556,risotteria melotti nyc,309 e 5th st ,"309 e 5th st new york city, ny 10003-8825",+1 646-755-8939,Italian;Mediterranean;Healthy,Yes,risotteria melotti nyc,309 e 5th st,309 e 5th stnew york ny 10003,(646) 755-8939,Italian;Gluten-Free;Wine Bars,Yes,1
116,116,299,1630,sweet life cafe,147 christopher st ,"147 christopher st new york city, ny 10014-2837",+1 212-807-0003,Cafe;Delicatessen,No,dominique bistro,14 christopher st,14 christopher stnew york ny 10014,(646) 756-4145,Wine Bars;French;Breakfast & Brunch,Yes,0
119,119,304,414,patzeria perfect pizza,231 w 46th st ,"231 w 46th st new york city, ny 10036-1409",+1 212-575-7646,Italian;Pizza;Fast Food,Yes,patzeria perfect pizza,231 w 46th st,231 w 46th stnew york ny 10036,(212) 575-7646,Pizza;Diners,Yes,1
125,125,321,1437,vinateria,2211 frederick douglass blvd ,"2211 frederick douglass blvd new york city, ny 10026-1101",+1 212-662-8462,Italian;Contemporary;Mediterranean,Yes,lido,2168 frederick douglass blvd,2168 frederick douglass blvdnew york ny 10026,(646) 490-8575,Italian;Breakfast & Brunch;Cocktail Bars,Yes,0
127,127,330,1401,sweet chick,"164 bedford ave brooklyn, ny 11249-136","164 bedford ave brooklyn, ny 11249-1367",+1 347-725-4793,American,Yes,sweet chick,164 bedford avebrooklyn ,164 bedford avebrooklyn ny 11211,(347) 725-4793,Southern;Breakfast & Brunch;American (Traditional),Yes,1
128,128,332,908,reviver,934 8th ave ,"934 8th ave new york city, ny 10019-4255",+1 917-475-1711,Fast Food;American;Healthy,No,kebab empire,934 8th ave,934 8th avenew york ny 10019,(646) 850-9008,Kebab,Yes,0
130,130,340,600,the kati roll company,49 w 39th st ,"49 w 39th st new york city, ny 10018-3887",+1 212-730-4280,Indian;Fast Food;Asian,Yes,the kati roll company,49 w 39th st,49 w 39th stnew york ny 10018,(212) 730-4280,Indian;Halal,Yes,1
131,131,342,2646,lattanzi ristorante,361 w 46th st ,"361 w 46th st new york city, ny 10036-3805",+1 212-315-0980,Italian;Vegetarian Friendly;Vegan Options,No,lattanzi,361 w 46th st,361 w 46th stnew york ny 10036,(212) 315-0980,Italian,No,1
133,133,346,859,peter dillon's,130 e 40th st ,"130 e 40th st new york city, ny 10016-0941",+1 212-213-3998,Pub,No,peter dillon’s,130 e 40th st,130 e 40th stnew york ny 10016,(212) 213-3998,Irish Pub;Beer Bar,No,1
135,135,350,1207,mamak,174 2nd ave ,"174 2nd ave new york city, ny 10003-5751",+1 212-254-2868,Asian;Thai;Vietnamese,Yes,lovemama,174 2nd ave,174 2nd avenew york ny 10003,(347) 394-5085,Thai;Malaysian;Vietnamese,Yes,0
136,136,352,424,udon west,11 saint marks pl ,"11 saint marks pl new york city, ny 10003-7806",,Asian;Japanese;Soups,No,crif dogs,113 saint marks pl,113 saint marks plnew york ny 10009,(212) 614-2728,Hot Dogs;American (New),Yes,0
139,139,357,2306,lantern's keep,49 w 44th st ,"49 w 44th st new york city, ny 10036-6613",+1 212-453-4287,,No,lantern’s keep,49 w 44th stiroquois hotel,49 w 44th stiroquois hotelnew york ny 10036,(212) 453-4287,Cocktail Bars,No,1
143,143,360,1311,piacere,351 broome st ,"351 broome st new york city, ny 10013-4236",+1 212-219-4080,Italian;Pizza;Vegetarian Friendly,Yes,piacere,351 broome st,351 broome stnew york ny 10013,(212) 219-4080,Pizza;Italian,Yes,1
144,144,363,279,merilu pizza al metro,791 9th ave ,"791 9th ave new york city, ny 10019-5643",+1 212-541-5012,Italian;Pizza;Vegetarian Friendly,Yes,merilu pizza al metro,791 9th ave,791 9th avenew york ny 10019,(212) 541-5012,Italian;Pizza,Yes,1
145,145,366,2468,l'atelier de joel robuchon,85 10th ave ,"85 10th ave new york city, ny 10011-4725",+1 212-488-8885,French;Vegetarian Friendly,No,toro,85 10th ave,85 10th avenew york ny 10011,(212) 691-2360,Tapas/Small Plates;Spanish;Tapas Bars,Yes,0
146,146,366,2879,l'atelier de joel robuchon,85 10th ave ,"85 10th ave new york city, ny 10011-4725",+1 212-488-8885,French;Vegetarian Friendly,No,l’atelier de joël robuchon,85 10th ave,85 10th avenew york ny 10011,(212) 488-8885,French;Bars,No,1
159,159,400,653,tehuitzingo,695 10th ave ,"695 10th ave new york city, ny 10036-2906",+1 212-397-5956,Mexican;Latin;Spanish,Yes,tehuitzingo,695 10th ave,695 10th avenew york ny 10036,(212) 397-5956,Grocery;Mexican;Delis,Yes,1
160,160,403,39,cheeky sandwiches,35 orchard st ,"35 orchard st new york city, ny 10002-6111",+1 646-504-6816,American;Vegetarian Friendly,Yes,cheeky sandwiches,35 orchard st,35 orchard stnew york ny 10002,(646) 504-8132,Sandwiches;Desserts,Yes,1
162,162,407,2250,david burke kitchen,23 grand st ,"23 grand st new york city, ny 10013-1618",+1 212-201-9119,American;Vegetarian Friendly;Gluten Free Options,No,david burke kitchen,23 grand st,23 grand stnew york ny 10013,(212) 201-9119,American (New);Steakhouses,No,1
165,165,421,2857,the russian tea room,150 w 57th st ,"150 w 57th st new york city, ny 10019-3301",+1 212-581-7100,Russian;Eastern European;International,No,the russian tea room,150 w 57th st,150 w 57th stnew york ny 10019,(212) 581-7100,Tea Rooms;Russian;Venues & Event Spaces,No,1
166,166,422,2550,kellari taverna,19 w 44th st ,"19 w 44th st new york city, ny 10036-5902",+1 212-221-0144,Seafood;Mediterranean;Greek,No,kellari taverna,19 w 44th st,19 w 44th stnew york ny 10036,(212) 221-0144,Greek;Mediterranean;Seafood,Yes,1
169,169,430,2693,orsay,1057 lexington ave ,"1057 lexington ave new york city, ny 10021-3293",+1 212-517-6400,French;European;International,No,orsay,1057 lexington ave,1057 lexington avenew york ny 10021,(212) 517-6400,French,No,1
170,170,431,123,pickler & co,216 e 45th st ,"216 e 45th st new york city, ny 10017-3304",+1 646-869-9026,Delicatessen,No,pickler & co,216 e 45th st,216 e 45th stnew york ny 10017,(646) 869-9026,Coffee & Tea;Sandwiches;Burgers,No,1
172,172,435,1697,distilled,211 w broadway ,"211 w broadway new york city, ny 10013-2927",+1 646-809-9490,Contemporary;Gastropub;American,No,distilled,211 w broadway,211 w broadwaynew york ny 10013,(646) 809-9490,American (New);Cocktail Bars;Breakfast & Brunch,Yes,1
174,174,440,218,sugar hill cafe,410 w 145th st ,"410 w 145th st new york city, ny 10031-5220",+1 212-234-2024,Cafe,No,sugar hill cafe,410 w 145th st,410 w 145th stnew york ny 10031,(212) 234-2024,Coffee & Tea;Cafes,Yes,1
176,176,445,2541,sant ambroeus,259 w 4th st ,"259 w 4th st new york city, ny 10014-3205",+1 212-604-9254,Italian;European;Vegetarian Friendly,No,sant ambroeus west village,259 w 4th st,259 w 4th stnew york ny 10014,(212) 604-9254,Italian;Desserts;Coffee & Tea,Yes,1
179,179,448,2945,the pool,99 e 52nd st ,"99 e 52nd st new york city, ny 10022-5905",+1 212-375-9001,American;Seafood,No,the grill,99 e 52nd st,99 e 52nd stnew york ny 10022,(212) 375-9001,Cocktail Bars;Venues & Event Spaces;American (Traditional),No,0
180,180,449,2897,torishin,362 w 53rd st ,"362 w 53rd st new york city, ny 10019-5940",+1 212-757-0108,Japanese;Asian,No,torishin,362 w 53rd st,362 w 53rd stnew york ny 10019,(212) 757-0108,Japanese,Yes,1
183,183,465,3022,jungsik,2 harrison st ,"2 harrison st new york city, ny 10013-2810",+1 212-219-0900,Asian;Korean;Gluten Free Options,No,jungsik,2 harrison st,2 harrison stnew york ny 10013,(212) 219-0900,Korean,No,1
187,187,474,436,main noodle house,1011 avenue of the americas ,"1011 avenue of the americas new york city, ny 10018-5516",+1 212-869-0888,Chinese;Asian;Vegetarian Friendly,Yes,chick-fil-a,1000 avenue of the americas,1000 avenue of the americasnew york ny 10018,(212) 704-9920,Fast Food,Yes,0
188,188,474,2382,main noodle house,1011 avenue of the americas ,"1011 avenue of the americas new york city, ny 10018-5516",+1 212-869-0888,Chinese;Asian;Vegetarian Friendly,Yes,48 lounge,1221 avenue of the americas,1221 avenue of the americasnew york ny 10020,(212) 554-4848,Lounges;Venues & Event Spaces,No,0
191,191,478,2707,augustine,5 beekman st ,"5 beekman st new york city, ny 10038-2206",+1 212-375-0010,French;European;Vegetarian Friendly,No,temple court,5 beekman st,5 beekman stnew york ny 10038,(212) 658-1848,American (New);Bars;Breakfast & Brunch,No,0
197,197,497,2344,wallse,344 w 11th st ,"344 w 11th st new york city, ny 10014-2391",+1 212-352-2300,German;Austrian;European,No,wallse,344 w 11th st,344 w 11th stnew york ny 10014,(212) 352-2300,German;Austrian;Modern European,No,1
208,208,525,2913,sushi ginza onodera,461 5th ave ,"461 5th ave new york city, ny 10017-6234",+1 212-390-0925,Japanese;Sushi,No,sushi ginza onodera,461 5th ave,461 5th avenew york ny 10017,(347) 798-1564,Sushi Bars;Japanese,No,1
209,209,528,2418,cote korean steakhouse,16 w 22nd st ,"16 w 22nd st new york city, ny 10010-5803",+1 212-401-7986,Steakhouse;International;Barbecue,Yes,cote,16 w 22nd st,16 w 22nd stnew york ny 10010,(212) 401-7986,Korean;Steakhouses;Cocktail Bars,No,1
217,217,556,1793,candle cafe,1307 3rd ave ,"1307 3rd ave new york city, ny 10021-3301",+1 212-472-0970,American;Cafe;Vegetarian Friendly,Yes,the candle cafe,1307 3rd ave,1307 3rd avenew york ny 10021,(212) 472-0970,Vegan;Gluten-Free;Sandwiches,Yes,1
218,218,557,2352,blaue gans,139 duane st ,"139 duane st new york city, ny 10013-3845",+1 212-571-8880,German;Austrian;European,No,blaue gans,139 duane st,139 duane stnew york ny 10013,(212) 571-8880,German;Austrian;Beer Bar,Yes,1
229,229,588,2434,simon sips,1185 avenue of the americas ,"1185 avenue of the americas new york city, ny 10036-2601",+1 212-354-2100,,No,stk midtown,1114 avenue of the americas,1114 avenue of the americasnew york ny 10036,(646) 624-2455,Steakhouses;American (New);Cocktail Bars,No,0
231,231,594,981,samba kitchen,661 9th ave ,"661 9th ave new york city, ny 10036-3659",+1 212-256-0171,Bar;South American;Brazilian,Yes,samba kitchen,661 9th ave,661 9th avenew york ny 10036,(212) 256-0170,Brazilian;Latin American;Breakfast & Brunch,Yes,1
232,232,595,1815,mighty quinn's barbeque,75 greenwich ave ,"75 greenwich ave new york city, ny 10014-2226",+1 646-524-7889,American;Barbecue,Yes,roasting plant,75 greenwich ave,75 greenwich avenew york ny 10014,(212) 775-7755,Coffee & Tea,Yes,0
234,234,597,2849,broadway lounge,1535 broadway ,"1535 broadway new york city, ny 10036-4077",+1 212-704-8834,American;Bar;Vegetarian Friendly,No,the view restaurant & lounge,1535 broadway,1535 broadwaynew york ny 10036,(212) 704-8900,Lounges;American (New),No,1
235,235,599,2436,antonucci,170 e 81st st ,"170 e 81st st new york city, ny 10028-1804",+1 212-570-5100,Italian,No,antonucci cafe,170 e 81st st,170 e 81st stnew york ny 10028,(212) 570-5100,Italian,Yes,1
236,236,602,2193,bacaro,136 division st ,"136 division st new york city, ny 10002-6129",+1 212-941-5060,Italian,No,bacaro,136 division st,136 division stnew york ny 10002,(212) 941-5060,Italian;Wine Bars;Cocktail Bars,Yes,1
239,239,614,1554,pizzeria sirenetta,568 amsterdam ave ,"568 amsterdam ave new york city, ny 10024-2830",+1 212-799-7401,Italian;Pizza;Vegetarian Friendly,Yes,pizzeria sirenetta,568 amsterdam ave,568 amsterdam avenew york ny 10024,(212) 799-7401,Pizza;Italian;Wine Bars,Yes,1
240,240,620,2117,andaz 5th avenue,485 5th ave ,"485 5th ave new york city, ny 10017-6149",+1 212-601-1234,American;Gluten Free Options,No,the bar downstairs,485 5th ave,485 5th avenew york ny 10018,(212) 601-1234,Lounges;Tapas/Small Plates;Cocktail Bars,No,0
242,242,626,2953,15 east restaurant,15 e 15th st ,"15 e 15th st new york city, ny 10003-3162",+1 212-647-0015,Japanese;Sushi;Asian,No,15 east restaurant,15 e 15th st,15 e 15th stnew york ny 10003,(212) 647-0015,Japanese;Sushi Bars,No,1
243,243,627,1700,dos toros taqueria,225 liberty st ,"225 liberty st new york city, ny 10281-1048",+1 212-786-0392,,No,tartinery hudson eats,225 liberty st,225 liberty stnew york ny 10281,(646) 755-8484,French,Yes,0
246,246,634,2182,barbuto,775 washington st ,"775 washington st new york city, ny 10014-1748",+1 212-924-9700,Italian;Vegetarian Friendly;Vegan Options,No,barbuto,775 washington st,775 washington stnew york ny 10014,(212) 924-9700,Italian;American (New),Yes,1
247,247,639,1896,vin et fleurs,69 thompson st ,"69 thompson st new york city, ny 10012-4368",+1 212-431-3330,French;Vegetarian Friendly,No,vin et fleurs,69 thompson st,69 thompson stnew york ny 10012,(212) 431-3335,Wine Bars;French;Breakfast & Brunch,Yes,1
249,249,640,6,buddakan,75 9th ave ,"75 9th ave new york city, ny 10011-7006",+1 212-989-6699,Chinese;Japanese;Asian,No,chelsea market,75 9th ave,75 9th avenew york ny 10011,(212) 652-2110,Public Markets,No,0
255,255,640,1549,buddakan,75 9th ave ,"75 9th ave new york city, ny 10011-7006",+1 212-989-6699,Chinese;Japanese;Asian,No,dizengoff nyc,75 9th ave,75 9th avenew york ny 10011,(646) 833-7097,Middle Eastern,Yes,0
260,260,648,1972,au bon pain,30 rockefeller plz ,"30 rockefeller plz new york city, ny 10112-0015",+1 212-757-4628,Cafe;Fast Food;Soups,Yes,bar sixtyfive,30 rockefeller plzfl 65,30 rockefeller plzfl 65new york ny 10112,(212) 632-5000,Cocktail Bars;Venues & Event Spaces;American (New),No,0
264,264,649,2864,mifune,245 e 44th st ,"245 e 44th st new york city, ny 10017-4337",+1 212-986-2800,Japanese;Sushi,No,mifune new york,245 e 44th st,245 e 44th stnew york ny 10017,(212) 986-2800,Japanese;Sushi Bars,No,1
267,267,662,3085,atrio wine bar & restaurant,102 n end ave ,"102 n end ave new york city, ny 10282-1238",+1 646-769-4250,American;Vegetarian Friendly;Gluten Free Options,No,conrad new york hotel,102 n end ave,102 n end avenew york ny 10282,(212) 945-0100,Hotels,No,0
269,269,667,216,taim nolita,45 spring st ,"45 spring st new york city, ny 10012-4106",+1 212-219-0600,Middle Eastern;Israeli;Fast Food,Yes,taim nolita,45 spring st,45 spring stnew york ny 10012,(212) 219-0600,Falafel,Yes,1
270,270,668,983,lucali,"575 henry st brooklyn, ny 11231-270","575 henry st brooklyn, ny 11231-2707",+1 718-858-4086,Italian;Pizza;Vegetarian Friendly,Yes,lucali,575 henry stbrooklyn ,575 henry stbrooklyn ny 11231,(718) 858-4086,Pizza,Yes,1
272,272,677,2898,angus club steakhouse,135 e 55th st ,"135 e 55th st new york city, ny 10022-4049",+1 212-588-1585,American;Steakhouse;Gluten Free Options,No,angus club steakhouse,135 e 55th st,135 e 55th stnew york ny 10022,(212) 588-1585,Steakhouses;Seafood;Salad,Yes,1
275,275,687,2271,fig & olive,420 w 13th st ,"420 w 13th st new york city, ny 10014-1103",+1 212-924-1200,French;Italian;Mediterranean,Yes,fig & olive meatpacking,420 w 13th st,420 w 13th stnew york ny 10014,(212) 924-1200,Mediterranean;French;Vegetarian,Yes,1
280,280,700,262,five napkin burger,150 e 14th st ,"150 e 14th st new york city, ny 10003-4170",+1 212-757-2277,American;Bar;Vegetarian Friendly,Yes,joe’s pizza,150 e 14th st,150 e 14th stnew york ny 10003,(212) 388-9474,Pizza,Yes,0
