,Unnamed: 0,_id,ltable_Id,rtable_Id,ltable_Name,ltable_Street,ltable_Address,ltable_Cuisines,ltable_Take Out,rtable_Name,rtable_Street,rtable_Address,rtable_Cuisines,rtable_Take Out,label
85,234,234,597,2849,broadway lounge,1535 broadway ,"1535 broadway new york city, ny 10036-4077",American;Bar;Vegetarian Friendly,No,the view restaurant & lounge,1535 broadway,1535 broadwaynew york ny 10036,Lounges;American (New),No,1
187,490,490,1208,444,bagels & schmear,114 e 28th st ,"114 e 28th st new york city, ny 10016-8402",American;Cafe;Vegetarian Friendly,Yes,bagels & schmear,116 e 28th st,116 e 28th stnew york ny 10016,Bagels;Bakeries;Coffee & Tea,Yes,0
365,994,994,2573,2383,au bon pain,1251 avenue of the americas ,"1251 avenue of the americas new york city, ny 10020-1104",Cafe;Soups;Fast Food,Yes,48 lounge,1221 avenue of the americas,1221 avenue of the americasnew york ny 10020,Lounges;Venues & Event Spaces,No,0
524,1423,1423,3412,698,cafe one,1619 amsterdam ave ,"1619 amsterdam ave new york city, ny 10031-6103",Cafe,Yes,cafe one,1619 amsterdam ave,1619 amsterdam avenew york ny 10031,Coffee & Tea,Yes,1
480,1292,1292,3116,2739,bhatti indian grill,100 lexington ave ,"100 lexington ave new york city, ny 10016-8975",Indian;Vegetarian Friendly;Vegan Options,Yes,lexington bar & books,1020 lexington ave,1020 lexington avenew york ny 10021,Bars;American (Traditional),No,0
346,931,931,2426,448,chapati house,3153 broadway ,"3153 broadway new york city, ny 10027-4139",,No,chapati house,3153 broadway,3153 broadwaynew york ny 10027,Indian,Yes,1
194,502,502,1239,2563,erminia italian restaurant,250 e 83rd st ,"250 e 83rd st new york city, ny 10028-2817",Italian,Yes,erminia italian restaurant,250 e 83rd st,250 e 83rd stnew york ny 10028,Italian,Yes,1
477,1284,1284,3110,1086,chelsea thai,75 9th ave ,"75 9th ave new york city, ny 10011-7006",Asian;Thai;Vegetarian Friendly,Yes,the lobster place,75 9th ave,75 9th avenew york ny 10011,Seafood Markets;Seafood,Yes,0
186,486,486,1183,2805,the garden at the four seasons,57 e 57th st ,"57 e 57th st new york city, ny 10022-2081",American;Healthy;Gluten Free Options,No,ty bar,57 e 57th st,57 e 57th stnew york ny 10022,Lounges,No,0
299,794,794,2018,1437,manna's soul food restaurant,2331 frederick douglass blvd ,"2331 frederick douglass blvd new york city, ny 10027-3627",American;Vegetarian Friendly,Yes,lido,2168 frederick douglass blvd,2168 frederick douglass blvdnew york ny 10026,Italian;Breakfast & Brunch;Cocktail Bars,Yes,0
495,1342,1342,3220,2982,souk and sandwich,117 avenue of the americas ,"117 avenue of the americas new york city, ny 10013-1933",Lebanese;Middle Eastern;Fast Food,No,mastro’s steakhouse,1285 avenue of the americas,1285 avenue of the americasnew york ny 10019,Steakhouses,No,0
446,1205,1205,2998,2319,il pesce,200 5th ave ,"200 5th ave new york city, ny 10010-3302",Seafood;Italian,Yes,manzo ristorante,200 5th ave,200 5th avenew york ny 10010,Italian,No,0
594,1616,1616,3868,2709,four cuts,1076 1st ave ,"1076 1st ave new york city, ny 10022-2202",American;Steakhouse,No,four cuts,1076 1st ave,1076 1st avenew york ny 10022,Steakhouses,Yes,1
348,933,933,2428,1044,harlem burger co.,2190 frederick douglass blvd ,"2190 frederick douglass blvd new york city, ny 10026-1117",,No,serengeti teas & spices,2292 frederick douglass blvd,2292 frederick douglass blvdnew york ny 10027,Coffee & Tea;Tea Rooms,Yes,0
499,1351,1351,3252,2196,ousia,629 w 57th st ,"629 w 57th st new york city, ny 10019-1001",Mediterranean;Greek;Vegetarian Friendly,Yes,ousia,629 w 57th st,629 w 57th stnew york ny 10019,Mediterranean;Greek,Yes,1
366,996,996,2575,5,creamline,75 9th ave ,"75 9th ave new york city, ny 10011-7006",American;Fast Food,Yes,los tacos no.1,75 9th ave,75 9th avenew york ny 10011,Mexican,Yes,0
14,45,45,134,2755,bailey pub and brasserie,52 william st ,"52 william st new york city, ny 10005-2876",American;Bar;Pub,Yes,william’s restaurant and bar,52 william st,52 william stnew york ny 10005,American (New),No,0
127,331,331,814,1916,nerai,55 e 54th st ,"55 e 54th st new york city, ny 10022-4206",Seafood;Mediterranean;Greek,Yes,nerai,55 e 54th st,55 e 54th stnew york ny 10022,Greek;Mediterranean;Wine Bars,Yes,1
580,1585,1585,3805,3045,piccolo cafe,238 madison ave ,"238 madison ave new york city, ny 10016-2816",Italian;Cafe;Vegetarian Friendly,Yes,madison bistro,238 madison ave,238 madison avenew york ny 10016,French,Yes,0
92,246,246,634,2182,barbuto,775 washington st ,"775 washington st new york city, ny 10014-1748",Italian;Vegetarian Friendly;Vegan Options,No,barbuto,775 washington st,775 washington stnew york ny 10014,Italian;American (New),Yes,1
333,874,874,2232,2123,death & co,433 e 6th st ,"433 e 6th st new york city, ny 10009-6335",Bar,No,death & co,433 e 6th st,433 e 6th stnew york ny 10009,Lounges;Cocktail Bars,No,1
200,521,521,1303,1457,ootoya,141 w 41st st ,"141 w 41st st new york, ny 10036 new york city, ny 10036",Japanese;Sushi;Asian,Yes,ootoya times square,141 w 41st st,141 w 41st stnew york ny 10036,Japanese,No,1
1,1,1,11,1489,shake shack,366 columbus ave ,"366 columbus ave new york city, ny 10024-5109",American;Fast Food,Yes,shake shack,366 columbus ave,366 columbus avenew york ny 10024,Burgers;American (New),Yes,1
343,903,903,2301,1993,little branch,20 7th ave ,"20 7th ave new york city, ny 10011-6608",,No,little branch,22 7th ave s,22 7th ave snew york ny 10014,Lounges;Cocktail Bars,No,1
312,818,818,2083,436,chipotle mexican grill,680 avenue of the americas ,"680 avenue of the americas new york city, ny 10010-5110",Mexican,No,chick-fil-a,1000 avenue of the americas,1000 avenue of the americasnew york ny 10018,Fast Food,Yes,0
320,835,835,2150,1997,balthazar,80 spring st ,"80 spring st new york city, ny 10012-3907",French;European;Soups,No,balthazar restaurant,80 spring st,80 spring stnew york ny 10012,French;Breakfast & Brunch,Yes,1
190,494,494,1213,1972,lennys thirty rock,30 rockefeller plz ,"30 rockefeller plz new york city, ny 10112-0015",,No,bar sixtyfive,30 rockefeller plzfl 65,30 rockefeller plzfl 65new york ny 10112,Cocktail Bars;Venues & Event Spaces;American (New),No,0
239,630,630,1597,535,manitoba's,99 avenue b ,"99 avenue b new york city, ny 10009-6210",,No,manitoba’s,99 ave b,99 ave bnew york ny 10009,Bars,No,1
52,131,131,342,2646,lattanzi ristorante,361 w 46th st ,"361 w 46th st new york city, ny 10036-3805",Italian;Vegetarian Friendly;Vegan Options,No,lattanzi,361 w 46th st,361 w 46th stnew york ny 10036,Italian,No,1
354,956,956,2489,2972,shuko,47 e 12th st ,"47 e 12th st new york city, ny 10003-4637",Japanese;Seafood;Sushi,No,shuko,47 e 12th st,47 e 12th stnew york ny 10003,Japanese;Sushi Bars,No,1
8,23,23,85,2387,limani,45 rockefeller plz ,"45 rockefeller plz new york city, ny 10111-0100",Seafood;Mediterranean;Greek,No,limani,45 rockerfeller plz,45 rockerfeller plznew york ny 10111,Mediterranean;Seafood,No,1
427,1145,1145,2859,1393,saiguette,935 columbus ave ,"935 columbus ave new york city, ny 10025-3701",Asian;Vietnamese;Vegetarian Friendly,Yes,saiguette,935 columbus ave,935 columbus avenew york ny 10025,Vietnamese,Yes,1
355,957,957,2491,804,papa john's,210 1st ave ,"210 1st ave new york city, ny 10009-3718",,No,gena’s grill,210 1st ave,210 1st avenew york ny 10009,Dominican;Puerto Rican,Yes,0
17,52,52,136,3110,a voce columbus,10 columbus cir ,"10 columbus cir new york city, ny 10019-1158",Italian;Gluten Free Options,No,center bar,10 columbus cirfl 4,10 columbus cirfl 4new york ny 10019,Lounges;Salad;Sandwiches,No,0
231,617,617,1558,186,saigon shack,114 macdougal st ,"114 macdougal st new york city, ny 10012-1245",Asian;Vietnamese;Vegetarian Friendly,Yes,saigon shack,114 macdougal st,114 macdougal stnew york ny 10012,Sandwiches;Coffee & Tea;Salad,Yes,1
21,61,61,160,2119,marlow & sons,"81 broadway brooklyn, ny 11249-600","81 broadway brooklyn, ny 11249-6005",American;Gluten Free Options;Vegetarian Friendly,Yes,marlow & sons,81 broadwaybrooklyn ,81 broadwaybrooklyn ny 11249,American (New),Yes,1
103,280,280,700,262,five napkin burger,150 e 14th st ,"150 e 14th st new york city, ny 10003-4170",American;Bar;Vegetarian Friendly,Yes,joe’s pizza,150 e 14th st,150 e 14th stnew york ny 10003,Pizza,Yes,0
245,655,655,1700,2415,fig & olive fifth avenue,10 e 52nd st ,"10 e 52nd st new york city, ny 10022-5308",Mediterranean;European;Vegetarian Friendly,No,fig & olive - new york,10 e 52nd st,10 e 52nd stnew york ny 10022,Mediterranean;French;Vegetarian,Yes,1
384,1053,1053,2681,1253,norma,438 3rd ave ,"438 3rd ave new york city, ny 10016-6040",Italian;Pizza;Mediterranean,Yes,norma gastronomia siciliana,438 3rd ave,438 3rd avenew york ny 10016,Italian;Pizza,Yes,0
266,701,701,1828,1191,cafe ollin,339 e 108th st ,"339 e 108th st new york city, ny 10029-4252",Mexican;Latin;Spanish,No,café ollin,339 e 108th st,339 e 108th stnew york ny 10029,Mexican;Latin American,Yes,1
181,473,473,1158,2544,la boite en bois,75 w 68th st ,"75 w 68th st new york city, ny 10023-5306",French;European;Gluten Free Options,No,la boite en bois,75 w 68th st,75 w 68th stnew york ny 10023,French,Yes,1
525,1427,1427,3416,213,the lobster place,75 9th ave ,"75 9th ave new york city, ny 10011-7006",Seafood;Gluten Free Options,Yes,ninth street espresso,75 9th ave,75 9th avenew york ny 10011,Coffee & Tea;Cafes,Yes,0
484,1300,1300,3130,997,angel's share,8 stuyvesant st ,"8 stuyvesant st new york city, ny 10003-7501",,No,village yokocho,8 stuyvesant st,8 stuyvesant stnew york ny 10003,Izakaya,No,0
481,1293,1293,3122,1626,raymi,43 w 24th st ,"43 w 24th st new york city, ny 10010-3205",Peruvian;Latin;Gluten Free Options,Yes,latin beet kitchen,43 w 24th st,43 w 24th stnew york ny 10010,Breakfast & Brunch;Latin American;Gluten-Free,Yes,0
62,160,160,403,39,cheeky sandwiches,35 orchard st ,"35 orchard st new york city, ny 10002-6111",American;Vegetarian Friendly,Yes,cheeky sandwiches,35 orchard st,35 orchard stnew york ny 10002,Sandwiches;Desserts,Yes,1
271,720,720,1866,2386,korali,1662 3rd ave ,"1662 3rd ave new york city, ny 10128-3703",Mediterranean;Greek;Seafood,Yes,korali estiatorio,1662 3rd ave,1662 3rd avenew york ny 10128,Greek;Mediterranean;Seafood,Yes,1
342,902,902,2300,2502,da marino restaurant,220 w 49th st ,"220 w 49th st new york city, ny 10019-7562",Italian;Vegetarian Friendly;Vegan Options,Yes,da marino,220 w 49th st,220 w 49th stnew york ny 10019,Italian,Yes,1
560,1534,1534,3673,1259,takumi,75 9th ave ,"75 9th ave new york city, ny 10011-7006",Mexican;Japanese;Fast Food,Yes,beyond sushi,75 9th ave,75 9th avenew york ny 10011,Sushi Bars;Vegan;Kosher,Yes,0
443,1198,1198,2987,2399,bar boulud,1900 broadway ,"1900 broadway new york city, ny 10023-7004",French;Vegetarian Friendly;Gluten Free Options,No,cafe fiorello,1900 broadway,1900 broadwaynew york ny 10023,Italian;Pizza;American (Traditional),Yes,0
250,661,661,1732,158,la margarita pizza,151 ludlow st ,"151 ludlow st new york city, ny 10002-2206",Italian;Pizza;Fast Food,Yes,la margarita pizza,168 ludlow st,168 ludlow stnew york ny 10002,Pizza,Yes,0
570,1557,1557,3737,2263,west side steakhouse,597 10th ave ,"597 10th ave new york city, ny 10036-3016",American;Steakhouse,Yes,west side steakhouse,597 10th ave,597 10th avenew york ny 10036,Steakhouses,Yes,1
404,1092,1092,2760,1733,root & bone,200 e 3rd st ,"200 e 3rd st new york city, ny 10009-7716",American,Yes,root & bone,200 e 3rd st,200 e 3rd stnew york ny 10009,Southern;Comfort Food;Desserts,Yes,1
37,94,94,241,3013,le district,225 liberty st ,"225 liberty st new york city, ny 10281-1048",French;Vegetarian Friendly;Vegan Options,Yes,l’appart,225 liberty st,225 liberty stnew york ny 10281,French,No,0
240,633,633,1612,262,joe's pizza,150 e 14th st ,"150 e 14th st new york city, ny 10003-4170",Italian;Pizza;Fast Food,Yes,joe’s pizza,150 e 14th st,150 e 14th stnew york ny 10003,Pizza,Yes,1
178,465,465,1128,2821,megu,355 w 16th st ,"355 w 16th st new york city, ny 10011-5902",Japanese;Sushi;Asian,Yes,electric room,355 w 16th st,355 w 16th stnew york ny 10011,Bars,No,0
34,88,88,220,2653,delmonico's kitchen,207 w 36th st ,"207 w 36th st new york city, ny 10018-7503",American;Steakhouse;Gluten Free Options,No,delmonico’s kitchen,207 w 36th st,207 w 36th stnew york ny 10018,Steakhouses,No,1
476,1279,1279,3103,2841,cipriani,55 wall st ,"55 wall st new york city, ny 10005-2805",Italian;Vegetarian Friendly;Vegan Options,No,cipriani wall street,55 wall st,55 wall stnew york ny 10005,Italian;Specialty Food,No,1
64,165,165,421,2857,the russian tea room,150 w 57th st ,"150 w 57th st new york city, ny 10019-3301",Russian;Eastern European;International,No,the russian tea room,150 w 57th st,150 w 57th stnew york ny 10019,Tea Rooms;Russian;Venues & Event Spaces,No,1
222,598,598,1511,2472,remi,145 w 53rd st ,"145 w 53rd st new york city, ny 10019-6005",Italian;European;Mediterranean,No,remi,145 w 53rd st,145 w 53rd stnew york ny 10019,Italian;Wine Bars;Gluten-Free,Yes,1
350,939,939,2437,2895,mike's bistro,127 e 54th st ,"127 e 54th st new york city, ny 10022-4512",American;Contemporary;Kosher,No,mike’s bistro,127 e 54th st,127 e 54th stnew york ny 10022,American (New);Kosher,Yes,1
578,1581,1581,3800,2575,le bilboquet,20 e 60th st ,"20 e 60th st new york city, ny 10022-1011",French;Vegetarian Friendly;Gluten Free Options,No,le bilboquet,20 e 60th st,20 e 60th stnew york ny 10022,French;Cajun/Creole;Desserts,No,1
523,1422,1422,3408,2930,caviar russe,538 madison ave ,"538 madison ave new york city, ny 10022-3215",Seafood;Gluten Free Options,No,caviar russe,538 madison avefl 2,538 madison avefl 2new york ny 10022,American (New);Seafood,No,1
583,1588,1588,3810,2731,cherry nyc,355 w 16th st ,"355 w 16th st new york city, ny 10011-5902",Asian;Japanese;Sushi,No,megu,355 w 16th st,355 w 16th stnew york ny 10011,Japanese,Yes,0
426,1143,1143,2855,1904,traif,"229 s 4th st brooklyn, ny 11211-560","229 s 4th st brooklyn, ny 11211-5605",American;International;Gluten Free Options,No,traif,229 s 4th stbrooklyn ,229 s 4th stbrooklyn ny 11211,American (New);Tapas/Small Plates,No,1
202,525,525,1313,2813,king cole bar,2 e 55th st ,"2 e 55th st new york city, ny 10022-3103",American;International;Contemporary,No,astor court,2 e 55th st,2 e 55th stnew york ny 10022,Tea Rooms;Desserts;Breakfast & Brunch,Yes,0
12,40,40,126,2631,rossopomodoro,200 5th ave ,"200 5th ave new york city, ny 10010-3302",Italian;Pizza;Vegetarian Friendly,Yes,il pesce,200 5th ave,200 5th avenew york ny 10010,Seafood;Italian,No,0
539,1474,1474,3519,63,breakroom,83 baxter st ,"83 baxter st new york city, ny 10013-4544",American;Fast Food,Yes,breakroom,83 baxter st,83 baxter stnew york ny 10013,Burgers;Mexican,Yes,1
211,557,557,1390,2874,nobu,195 broadway ,"195 broadway new york city, ny 10007-3100",Japanese;Seafood;Sushi,No,nobu downtown,195 broadway,195 broadwaynew york ny 10007,Japanese;Sushi Bars;Wine Bars,No,1
50,128,128,332,908,reviver,934 8th ave ,"934 8th ave new york city, ny 10019-4255",Fast Food;American;Healthy,No,kebab empire,934 8th ave,934 8th avenew york ny 10019,Kebab,Yes,0
31,80,80,204,2875,rainbow room,30 rockefeller plz ,"30 rockefeller plz new york city, ny 10112-0015",American;Contemporary;Vegetarian Friendly,No,bar sixtyfive,30 rockefeller plzfl 65,30 rockefeller plzfl 65new york ny 10112,Cocktail Bars;Venues & Event Spaces;American (New),No,0
78,208,208,525,2913,sushi ginza onodera,461 5th ave ,"461 5th ave new york city, ny 10017-6234",Japanese;Sushi,No,sushi ginza onodera,461 5th ave,461 5th avenew york ny 10017,Sushi Bars;Japanese,No,1
66,169,169,430,2693,orsay,1057 lexington ave ,"1057 lexington ave new york city, ny 10021-3293",French;European;International,No,orsay,1057 lexington ave,1057 lexington avenew york ny 10021,French,No,1
142,381,381,954,2298,mimi,185 sullivan st ,"185 sullivan st new york city, ny 10012-2508",French,No,mimi,185 sullivan st,185 sullivan stnew york ny 10012,French,No,1
424,1141,1141,2848,1084,uskudar turkish restaurant,1405 2nd ave ,"1405 2nd ave new york city, ny 10021-3768",Mediterranean;Turkish;Middle Eastern,Yes,agora turkish restaurant,1565 2nd ave,1565 2nd avenew york ny 10028,Turkish;Mediterranean;Middle Eastern,Yes,0
573,1561,1561,3754,2434,hollywood diner,574 avenue of the americas ,"574 avenue of the americas new york city, ny 10011-2050",American;Diner;Vegetarian Friendly,Yes,stk midtown,1114 avenue of the americas,1114 avenue of the americasnew york ny 10036,Steakhouses;American (New);Cocktail Bars,No,0
564,1543,1543,3696,178,gila's nosh,221 e 23rd st ,"221 e 23rd st new york city, ny 10010-3906",Mediterranean;Middle Eastern;Israeli,Yes,gila’s nosh,221 e 23rd st,221 e 23rd stnew york ny 10010,Coffee & Tea;Mediterranean;Breakfast & Brunch,Yes,1
206,543,543,1361,1116,tanner smith's,204 w 55th st ,"204 w 55th st new york city, ny 10019-5240",American;Bar;Pub,No,tanner smiths,204 w 55th st,204 w 55th stnew york ny 10019,Cocktail Bars;American (New);Breakfast & Brunch,No,1
419,1124,1124,2819,497,previti pizza,123 east 41st street ,"123 east 41st street new york city, ny 10168",Italian;Pizza;Fast Food,Yes,previti pizza,123 e 41st st,123 e 41st stnew york ny 10168,Pizza;Beer Bar;Sandwiches,Yes,1
306,802,802,2040,2152,jack the horse tavern,"66 hicks st brooklyn, ny 11201-135","66 hicks st brooklyn, ny 11201-1355",American;Gluten Free Options;Vegetarian Friendly,No,jack the horse tavern,66 hicks stbrooklyn ,66 hicks stbrooklyn ny 11201,American (New);Desserts;Bars,Yes,1
436,1173,1173,2917,2296,junoon restaurant,27 w 24th st ,"27 w 24th st new york city, ny 10010-3290",Indian;Asian;Vegetarian Friendly,No,junoon,27 w 24th st,27 w 24th stnew york ny 10010,Indian;Desserts;Wine Bars,No,1
15,47,47,136,2549,a voce columbus,10 columbus cir ,"10 columbus cir new york city, ny 10019-1158",Italian;Gluten Free Options,No,ascent lounge,10 columbus cirfl 4,10 columbus cirfl 4new york ny 10019,Cocktail Bars;Venues & Event Spaces;Lounges,No,0
246,656,656,1707,2373,isle of capri,1028 3rd ave ,"1028 3rd ave new york city, ny 10065-8502",Italian;Vegetarian Friendly;Gluten Free Options,No,isle of capri,1028 3rd ave,1028 3rd avenew york ny 10065,Italian,Yes,1
45,113,113,292,1556,risotteria melotti nyc,309 e 5th st ,"309 e 5th st new york city, ny 10003-8825",Italian;Mediterranean;Healthy,Yes,risotteria melotti nyc,309 e 5th st,309 e 5th stnew york ny 10003,Italian;Gluten-Free;Wine Bars,Yes,1
6,14,14,55,2505,benoit new york,60 w 55th st ,"60 w 55th st new york city, ny 10019-5308",French;Contemporary;Vegetarian Friendly,No,benoit,60 w 55th st,60 w 55th stnew york ny 10019,French;Wine Bars,Yes,1
264,696,696,1817,1871,piccola cucina,196 spring st ,"196 spring st new york city, ny 10012-3621",Italian;Mediterranean;Vegetarian Friendly,Yes,piccola cucina osteria,196 spring st,196 spring stnew york ny 10012,Italian,Yes,1
418,1123,1123,2818,1811,five leaves,"18 bedford ave brooklyn, ny 11222-310","18 bedford ave brooklyn, ny 11222-3102",American;Cafe;Contemporary,Yes,five leaves,18 bedford avebrooklyn ,18 bedford avebrooklyn ny 11222,American (New);Bars,Yes,1
262,694,694,1815,3079,cecconi's dumbo,"55 water st brooklyn, ny 11201-105","55 water st brooklyn, ny 11201-1052",Italian;European;Vegetarian Friendly,No,cecconi’s dumbo,55 water stbrooklyn ,55 water stbrooklyn ny 11201,Italian;Breakfast & Brunch;Bars,No,1
75,188,188,474,2382,main noodle house,1011 avenue of the americas ,"1011 avenue of the americas new york city, ny 10018-5516",Chinese;Asian;Vegetarian Friendly,Yes,48 lounge,1221 avenue of the americas,1221 avenue of the americasnew york ny 10020,Lounges;Venues & Event Spaces,No,0
10,33,33,116,2480,perrine,2 e 61st st ,"2 e 61st st new york city, ny 10065-8401",Fusion;French;Vegetarian Friendly,No,two e bar/lounge,2 e 61st st,2 e 61st stnew york ny 10065,Lounges;Tea Rooms,No,0
438,1183,1183,2943,2881,charlie palmer steak,47 west 38th street ,"47 west 38th street new york city, ny 10022-3108",American;Steakhouse;Contemporary,No,charlie palmer steak,47 west 38th st,47 west 38th stnew york ny 10018,Steakhouses;American (New),Yes,1
425,1142,1142,2849,930,one more thai,6 clinton st ,"6 clinton st new york city, ny 10002-1713",Asian;Thai,No,mughlai grill,6 clinton st,6 clinton stnew york ny 10002,Indian,Yes,0
575,1573,1573,3783,1087,friedman's lunch,75 9th ave ,"75 9th ave new york city, ny 10011-7006",American;Vegetarian Friendly;Vegan Options,Yes,chelsea market,75 9th ave,75 9th avenew york ny 10011,Public Markets,No,0
556,1518,1518,3642,2340,black barn,19 e 26th st ,"19 e 26th st new york city, ny 10010-1450",American;Vegetarian Friendly;Vegan Options,No,black barn,19 e 26th st,19 e 26th stnew york ny 10010,American (New);Breakfast & Brunch;Wine Bars,Yes,1
358,969,969,2532,657,sacco pizza,819 9th ave ,"819 9th ave new york city, ny 10019-4461",Italian;Pizza;Vegetarian Friendly,Yes,sacco pizza,819 9th ave,819 9th avenew york ny 10019,Pizza,Yes,1
385,1054,1054,2682,2406,cucharamama,"233 clinton st hoboken, nj 07030-255","233 clinton st hoboken, nj 07030-2554",Latin;South American;Spanish,No,cucharamama,233 clinton sthoboken ,233 clinton sthoboken nj 07030,Latin American;Beer Bar;Cocktail Bars,Yes,1
334,878,878,2237,2091,birdland,315 w 44th st ,"315 w 44th st new york city, ny 10036-5402",American;Bar,No,birdland jazz club,315 w 44th st,315 w 44th stnew york ny 10036,Jazz & Blues;Cajun/Creole;Cabaret,No,1
170,443,443,1077,2493,azalea,224 w 51st st ,"224 w 51st st new york city, ny 10019-6202",Italian;Vegetarian Friendly;Gluten Free Options,No,azalea ristorante,224 w 51st st,224 w 51st stnew york ny 10019,Italian,No,1
595,1617,1617,3869,2917,kosaka,220 w 13th st ,"220 w 13th st new york city, ny 10011-7767",Japanese;Sushi;Asian,No,kosaka,220 w 13th st,220 w 13th stnew york ny 10011,Japanese;Sushi Bars,No,1
144,384,384,962,2083,boqueria,171 spring st ,"171 spring st new york city, ny 10012-3843",Mediterranean;Spanish;Vegetarian Friendly,Yes,boqueria,171 spring st,171 spring stnew york ny 10012,Spanish,Yes,1
386,1058,1058,2688,1284,earl's beer and cheese,1259 park ave ,"1259 park ave new york city, ny 10029-7119",American;Bar;Pub,Yes,earl’s beer & cheese,1259 park ave,1259 park avenew york ny 10029,Bars;Comfort Food,Yes,1
437,1182,1182,2942,2169,gradisca,126 w 13th st ,"126 w 13th st new york city, ny 10011-7802",Italian;European;Vegetarian Friendly,Yes,gradisca,126 w 13th st,126 w 13th stnew york ny 10011,Italian,Yes,1
313,819,819,2084,2021,yopparai sake bar & restaurant,151 rivington st ,"151 rivington st new york city, ny 10002-2433",Japanese;Asian,No,yopparai,151 rivington stfl 1,151 rivington stfl 1new york ny 10002,Japanese,No,1
471,1267,1267,3092,6,beyond sushi,75 9th ave ,"75 9th ave new york city, ny 10011-7006",Healthy;Fast Food;Sushi,Yes,chelsea market,75 9th ave,75 9th avenew york ny 10011,Public Markets,No,0
