Id,Name,Address,Phone,Cuisines,Saturday Opening time,Saturday Closing time,Sunday Opening time,Sunday Closing time,Take Out
72,Juicology,387 8th AveNew York NY 10001,(212) 695-0628,Salad;Juice Bars & Smoothies;Sandwiches,08:15 AM,06:00 PM,08:15 AM,05:00 PM,Yes
73,Sunny’s Bar,253 Conover StBrooklyn NY 11231,(718) 624-2932,Bars,11:00 AM,04:00 AM,11:00 AM,12:00 AM,No
74,Brooklyn Kolache,520 Dekalb AveBrooklyn NY 11205,(718) 398-1111,Coffee & Tea;Bakeries;Cafes,08:00 AM,08:00 PM,08:00 AM,07:00 PM,Yes
75,Round K,99 Allen StNew York NY 10002,(917) 475-1423,Coffee & Tea;Breakfast & Brunch;Bagels,09:00 AM,12:00 AM,09:00 AM,10:00 PM,Yes
76,Mamoun’s Falafel,119 MacDougal StNew York NY 10012,(212) 674-8685,Middle Eastern;Falafel,11:00 AM,05:00 AM,11:00 AM,01:00 AM,Yes
77,12 Corners Coffee,155 E BroadwayNew York NY 10002,(212) 625-8888,Coffee & Tea,08:00 AM,06:00 PM,08:00 AM,06:00 PM,Yes
78,The Jolly Goat Coffee Bar,515 W 47th StNew York NY 10036,(646) 509-8957,Coffee & Tea;Cafes;Bagels,07:00 AM,06:00 PM,07:00 AM,06:00 PM,Yes
79,The GoGo Grill,Bowling Green Park1 BroadwayNew York NY 10004,(646) 425-1905,Food Trucks;Vegetarian;Sandwiches,CLOSED,CLOSED,CLOSED,CLOSED,Yes
80,McSorleys Old Ale House,15 E 7th StNew York NY 10003,(212) 473-9148,Dive Bars;Breweries,11:00 AM,01:00 AM,01:00 PM,01:00 AM,No
81,Vito’s Italian Deli,806 Washington StHoboken NJ 07030,(201) 792-4944,Delis,08:00 AM,05:00 PM,09:00 AM,03:00 PM,Yes
82,Pause Cafe,3 Clinton StNew York NY 10002,(212) 677-5415,Moroccan;Cafes;Juice Bars & Smoothies,08:00 AM,08:00 PM,08:00 AM,07:00 PM,Yes
83,Natural Blend,769A Washington AveBrooklyn NY 11238,(718) 783-1737,Vegetarian;Juice Bars & Smoothies;Salad,09:30 AM,11:00 PM,10:00 AM,07:30 PM,Yes
84,Teixeira’s Bakery,184 Ferry StNewark NJ 07105,(973) 344-4902,Bakeries;Coffee & Tea,05:00 AM,08:00 PM,05:00 AM,08:00 PM,Yes
85,The Blue Light Speak Cheesy,1112 Bedford AveBrooklyn NY 11216,(714) 519-6374,Sandwiches;Breakfast & Brunch,CLOSED,CLOSED,CLOSED,CLOSED,Yes
86,Sunny and Annie’s,94 Ave BNew York NY 10003,(212) 677-3131,Sandwiches;Delis;Grocery,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS,Yes
87,Bolivian Llama Party,57th St 8th AveNew York NY 10019,(347) 395-5481,Food Stands;Latin American,10:30 AM,09:00 PM,10:30 AM,08:00 PM,Yes
88,T-Swirl Crêpe,2 Mott StNew York NY 10013,(646) 726-4166,Desserts;Gluten-Free;Creperies,11:00 AM,11:00 PM,11:00 AM,11:00 PM,Yes
89,Varrio 408,412 5th AvePark Slope NY 11215,(718) 398-4300,Mexican,11:30 AM,11:00 PM,11:30 AM,10:00 PM,Yes
90,Bread & Joe,618 4th AveBrooklyn NY 11215,(516) 945-9711,Coffee & Tea;Bakeries;Bubble Tea,08:00 AM,04:00 PM,CLOSED,CLOSED,Yes
91,Uncle Gussy’s,345 Park AveNew York NY 10154,(929) 600-1111,Food Trucks;Greek,CLOSED,CLOSED,CLOSED,CLOSED,Yes
92,Pinsa Lab,86 5th AveBrooklyn NY 11217,(347) 763-1758,Pizza;Italian,11:30 AM,11:00 PM,11:30 AM,10:00 PM,Yes
93,Leo’s Deli Sandwich Shop,1153 Forest AveStaten Island NY 10310,(718) 815-8757,Delis;Sandwiches;Salad,07:00 AM,03:00 PM,07:00 AM,03:00 PM,Yes
94,Morningside Coffee & Biscuits,547B Malcolm X BlvdNew York NY 10037,(917) 639-3181,Coffee & Tea;Breakfast & Brunch;Bakeries,08:00 AM,05:00 PM,08:00 AM,05:00 PM,Yes
95,Bang Cookies,1183 Summit AveJersey City NJ 07307,(888) 834-8885,Bakeries;Desserts;Food Stands,11:00 AM,12:00 AM,11:00 AM,12:00 AM,Yes
96,Tropical Revival Restaurant & Catering,12-40 Clintonville StWhitestone NY 11357,(917) 563-7879,Caribbean;Soul Food,11:30 AM,07:00 PM,CLOSED,CLOSED,Yes
97,bwè kafe,1002 Washington StHoboken NJ 07030,(201) 683-0045,Cafes;Coffee & Tea,08:00 AM,07:00 PM,08:00 AM,07:00 PM,Yes
98,Shu Jiao Fu Zhou Cuisine Restaurant,118 Eldridge StNew York NY 10002,(212) 625-2532,Chinese,09:30 AM,09:30 PM,09:30 AM,09:30 PM,Yes
99,Ziki Bar,19-23 Ditmars BlvdAstoria NY 11105,(718) 606-1391,Breakfast & Brunch;Cafes;Tiki Bars,10:00 AM,10:00 PM,10:00 AM,08:00 PM,Yes
100,Petee’s Pie Company,61 Delancey StNew York NY 10002,(212) 966-2526,Bakeries;Coffee & Tea;Desserts,10:00 AM,01:00 AM,10:00 AM,12:00 AM,Yes
101,Old Man Hustle,39 Essex StNew York NY 10002,(212) 253-7747,Cocktail Bars;Dive Bars;Comedy Clubs,02:00 PM,01:30 AM,02:00 PM,01:30 AM,No
102,Hawa Smoothies & Bubble Tea,422 E 14th StNew York NY 10009,(646) 864-1090,Coffee & Tea;Bubble Tea;Juice Bars & Smoothies,09:00 AM,09:00 PM,09:00 AM,09:00 PM,Yes
103,Fat Cat Kitchen,223 E 14th StNew York NY 10003,(212) 235-1994,Sandwiches;Bakeries;Coffee & Tea,08:00 AM,08:00 PM,09:00 AM,04:00 PM,Yes
104,Sweatshop,232 Metropolitan AveWilliamsburg NY 11211,(917) 960-7232,Coffee & Tea;Breakfast & Brunch,08:00 AM,06:00 PM,08:00 AM,06:00 PM,Yes
105,Voyager Espresso,110 William StLower LevelNew York NY 10038,(646) 885-6792,Coffee & Tea;Cafes,CLOSED,CLOSED,CLOSED,CLOSED,Yes
106,Omani,160-42 Willets Point BlvdWhitestone NY 11357,(718) 225-2500,Sandwiches,06:30 AM,10:00 PM,CLOSED,CLOSED,Yes
107,Xe May Sandwich Shop,96 Saint Marks PlNew York NY 10009,(212) 388-1688,Sandwiches;Vietnamese,12:00 PM,10:00 PM,12:00 PM,10:00 PM,Yes
108,The Panorama of My Silence-Heart,84-73 Parsons BlvdJamaica NY 11432,(718) 206-4960,Coffee & Tea;Vegetarian;Breakfast & Brunch,08:00 AM,06:00 PM,08:00 AM,06:00 PM,Yes
109,Nam Nam,109 Montrose AveBrooklyn NY 11206,(718) 302-9200,Vietnamese;Coffee & Tea,11:00 AM,09:00 PM,11:00 AM,09:00 PM,Yes
110,Brooklyn Bagel & Coffee Company,286 8th AveNew York NY 10001,(212) 924-2824,Bagels;Breakfast & Brunch;Cafes,07:00 AM,08:00 PM,07:00 AM,08:00 PM,Yes
111,Black Rail Coffee,800 Jackson StHoboken NJ 07030,(201) 222-7400,Coffee & Tea;Cafes;Sandwiches,08:00 AM,05:00 PM,CLOSED,CLOSED,Yes
112,Lamb Noodle Soup,41-28 Main StGolden MallFlushing NY 11355,(412) 862-4678,Chinese;Noodles,09:00 AM,10:00 PM,09:00 AM,10:00 PM,Yes
113,Cafe Boulis,30-15 31st AveAstoria NY 11106,(718) 806-1014,Bakeries;Coffee & Tea;Donuts,06:30 AM,10:00 PM,10:00 AM,10:00 PM,Yes
114,A&A The Doubles King,481 Nostrand AveBrooklyn NY 11216,(917) 892-9562,Bakeries;Trinidadian;Fast Food,08:00 AM,05:00 PM,CLOSED,CLOSED,Yes
115,51st Bakery and Cafe,5-33 51st AveLong Island City NY 11101,(718) 707-0554,Bakeries;Breakfast & Brunch;Wine Bars,08:00 AM,03:00 PM,08:00 AM,03:00 PM,Yes
116,Taheni Mediterranean Grill,224 4th AveBrooklyn NY 11215,(718) 522-2083,Falafel;Middle Eastern,12:00 PM,01:00 AM,12:00 PM,10:00 PM,Yes
117,My Pie,690 Lexington AveNew York NY 10022,(212) 317-1850,Pizza,10:00 AM,09:00 PM,10:00 AM,09:00 PM,Yes
118,Dulce De Leche Bakery,6510 Bergenline AveWest New York NJ 07093,(201) 869-6999,Bakeries;Cafes;Empanadas,06:00 AM,09:00 PM,07:00 AM,08:00 PM,Yes
119,Tac N Roll,124 E 4th StNew York NY 10003,(212) 353-0800,Tacos;Sandwiches;Desserts,11:30 AM,10:15 PM,11:30 AM,09:45 PM,Yes
120,Andris Cuban Sandwich King,484 Stuyvesant AveLyndhurst NJ 07071,(201) 939-1110,Cuban;Sandwiches;Coffee & Tea,06:30 AM,05:00 PM,CLOSED,CLOSED,Yes
121,Taco Mahal,73 7th Ave SNew York NY 10014,(646) 719-1553,Indian;Tacos,11:00 AM,12:00 AM,11:00 AM,10:00 PM,Yes
122,South,629 5th AveBrooklyn NY 11215,(718) 832-4720,Bars,12:00 PM,04:00 AM,12:00 PM,04:00 AM,No
123,Pickler & Co,216 E 45th StNew York NY 10017,(646) 869-9026,Coffee & Tea;Sandwiches;Burgers,CLOSED,CLOSED,11:00 AM,03:00 PM,No
124,Lucia Pizza,136-55 Roosevelt AveFlushing NY 11354,(929) 282-1983,Pizza,10:30 AM,11:00 PM,11:00 AM,10:00 PM,Yes
125,Postmark Cafe,326 6th StBrooklyn NY 11215,(718) 768-2613,Coffee & Tea;Cafes,08:00 AM,06:00 PM,CLOSED,CLOSED,Yes
126,Mia’s Bakery,139 Smith StBrooklyn NY 11201,(929) 344-5525,Bakeries;Cafes;Desserts,07:00 AM,01:00 AM,07:00 AM,11:00 PM,Yes
127,Honey Bakery,673 Bergen AveJersey City NJ 07304,(201) 984-0795,Bakeries;Russian;Korean,11:00 AM,09:00 PM,11:00 AM,09:00 PM,Yes
128,PLG Coffee House and Tavern,499 Rogers AveBrooklyn NY 11225,(347) 413-7944,Coffee & Tea;Breakfast & Brunch;Sandwiches,08:00 AM,05:00 PM,09:00 AM,05:00 PM,Yes
129,King Souvlaki,31 St And 31 AveAstoria NY 11105,(917) 416-1189,Greek;Food Trucks,09:00 AM,05:00 AM,11:00 AM,11:00 PM,Yes
130,Brother Crêpe,42-02 30th AveAstoria NY 11103,(718) 606-0774,Creperies;Juice Bars & Smoothies;Bubble Tea,11:00 AM,11:00 PM,11:00 AM,10:00 PM,Yes
131,5th Avenue Market & Gourmet Deli,185 5th AveBrooklyn NY 11217,(718) 230-8050,Delis;Grocery,06:00 AM,05:30 AM,06:00 AM,05:30 AM,Yes
132,Duff’s Brooklyn,168 Marcy AveBrooklyn NY 11211,(718) 599-2092,Dive Bars,06:00 PM,04:00 AM,06:00 PM,04:00 AM,No
133,Andrew & Frank Deli,2802 23rd AveAstoria NY 11105,(718) 728-9066,Delis;American (Traditional);Sandwiches,07:00 AM,07:00 PM,CLOSED,CLOSED,Yes
134,Wowfulls,309 E Houston StNew York NY 10002,(917) 299-4616,Desserts;Waffles;Ice Cream & Frozen Yogurt,12:00 PM,10:30 PM,12:00 PM,10:30 PM,No
135,Sashimi Express,354 E 78th StNew York NY 10075,(929) 231-9376,Sushi Bars;Bubble Tea;Japanese,12:30 PM,10:00 PM,12:30 PM,09:00 PM,Yes
136,Rizzo Bakery,208 Central AveJersey City NJ 07307,(201) 653-7248,Bakeries;Italian,09:30 AM,09:00 PM,10:00 AM,09:00 PM,Yes
137,The Doughnut Project,10 Morton StNew York NY 10014,(212) 691-5000,Donuts;Coffee & Tea,09:00 AM,06:00 PM,09:00 AM,06:00 PM,Yes
138,L & B Spumoni Gardens,2725 86th StBrooklyn NY 11223,(718) 449-1230,Pizza;Italian,11:00 AM,12:00 AM,11:00 AM,12:00 AM,Yes
139,Luigi’s Pizzeria,326 Dekalb AveBrooklyn NY 11205,(718) 783-2430,Pizza,11:00 AM,10:00 PM,12:00 PM,09:00 PM,Yes
140,Reyes Deli & Grocery,532 4th AveBrooklyn NY 11215,(718) 369-3211,Grocery;Delis,07:00 AM,03:00 AM,07:00 AM,01:00 AM,Yes
141,Trapizzino,144 Orchard StNew York NY 10002,(212) 475-2555,Italian;Sandwiches;Pizza,11:00 AM,03:00 AM,11:00 AM,10:00 PM,Yes
142,Johny’s Luncheonette,124 W 25th StNew York NY 10001,(212) 243-6230,Breakfast & Brunch;Burgers;Sandwiches,08:30 AM,04:00 PM,08:30 AM,04:00 PM,Yes
143,Taim Mobile Falafel & Smoothie Truck,New York NY 10014,(212) 219-2216,Middle Eastern;Juice Bars & Smoothies;Food Trucks,CLOSED,CLOSED,CLOSED,CLOSED,Yes
144,Moe’s Doughs Donut Shop,126 Nassau AveBrooklyn NY 11222,(718) 349-1216,Donuts;Coffee & Tea;Breakfast & Brunch,07:00 AM,09:00 PM,07:00 AM,09:00 PM,Yes
145,Lali Restaurant,630 10th AveNew York NY 10036,(212) 664-1507,Dominican,09:00 AM,04:00 PM,CLOSED,CLOSED,Yes
146,Family Corner Restaurant,2102 31st StAstoria NY 11105,(718) 204-7915,Greek;American (Traditional);Salad,06:30 AM,08:30 PM,CLOSED,CLOSED,Yes
147,Banh Mi Saigon,198 Grand StNew York NY 10013,(212) 941-1541,Vietnamese;Sandwiches,08:00 AM,07:00 PM,08:00 AM,07:00 PM,Yes
148,Rombiolo Bakery Cafe,119 Broughton AveBloomfield NJ 07003,(973) 680-0405,Bakeries;Cafes,06:00 AM,07:00 PM,07:00 AM,03:00 PM,Yes
149,Perk Kafe,162 E 37th StNew York NY 10016,(212) 686-7375,Coffee & Tea;Bakeries,07:00 AM,07:00 PM,08:00 AM,07:00 PM,Yes
150,T-Swirl Crêpe,247 E 14th StNew York NY 10003,(212) 614-0200,Desserts;Creperies;Gluten-Free,11:00 AM,11:00 PM,11:00 AM,11:00 PM,Yes
151,Rex,864 10th AveNew York NY 10019,(212) 757-0580,Coffee & Tea;Sandwiches;Bakeries,08:00 AM,06:00 PM,08:00 AM,06:00 PM,Yes
152,El Rey Del Taco Truck,3301 30th AveAstoria NY 11103,(347) 754-2966,Mexican;Food Trucks,11:00 AM,05:00 AM,CLOSED,CLOSED,Yes
153,Charter Coffeehouse,309 Graham AveBrooklyn NY 11211,(347) 721-3735,Coffee & Tea;Hair Salons;Breakfast & Brunch,08:00 AM,07:00 PM,08:00 AM,07:00 PM,Yes
154,Seven Grams Caffe,275 7th AveNew York NY 10001,(212) 727-1777,Coffee & Tea;Bakeries,08:00 AM,07:00 PM,08:00 AM,07:00 PM,Yes
155,Luigi’s Pizza,686 5th AveBrooklyn NY 11215,(718) 499-3857,Pizza,11:00 AM,12:00 AM,CLOSED,CLOSED,Yes
156,Cypress Inn,1702 Stanhope StRidgewood NY 11385,(347) 889-5676,Cafes;Sandwiches;Coffee & Tea,09:00 AM,06:00 PM,09:00 AM,06:00 PM,Yes
157,Dun-Well Doughnuts,222 Montrose AveBrooklyn NY 11206,(347) 294-0871,Donuts;Coffee & Tea,08:00 AM,07:00 PM,08:00 AM,07:00 PM,Yes
158,La Margarita Pizza,168 Ludlow StNew York NY 10002,(917) 261-4983,Pizza,10:00 AM,05:00 AM,10:00 AM,12:00 AM,Yes
159,Sunshine Ice,4514 Park AveWeehawken NJ 07086,(201) 293-5600,Juice Bars & Smoothies;Coffee & Tea;Shaved Ice,10:00 AM,10:00 PM,11:00 AM,10:00 PM,Yes
