,Unnamed: 0,_id,ltable_Id,rtable_Id,ltable_Name,ltable_Street,ltable_Address,ltable_Cuisines,ltable_Take Out,rtable_Name,rtable_Street,rtable_Address,rtable_Cuisines,rtable_Take Out,label
422,1136,1136,2839,946,despana,408 broome st ,"408 broome st new york city, ny 10013-3269",Mediterranean;Spanish,Yes,despaña,408 broome st,408 broome stnew york ny 10013,Spanish;Basque;Grocery,Yes,1
489,1322,1322,3179,2234,colonie,"127 atlantic ave brooklyn, ny 11201-554","127 atlantic ave brooklyn, ny 11201-5546",American;Vegetarian Friendly;Gluten Free Options,No,colonie,127 atlantic avebrooklyn ,127 atlantic avebrooklyn ny 11201,Breakfast & Brunch;American (Traditional);Cocktail Bars,No,1
164,425,425,1051,210,oatmeals,120 w 3rd st ,"120 w 3rd st new york city, ny 10012-1235",American;Cafe;Vegetarian Friendly,Yes,oatmeals,120 w 3rd st,120 w 3rd stnew york ny 10012,Bakeries;Coffee & Tea;Breakfast & Brunch,Yes,1
106,286,286,709,3122,la villetta,398 e 52nd st ,"398 e 52nd st new york city, ny 10022-6460",Italian;Vegetarian Friendly;Gluten Free Options,Yes,la villetta,398 e 52nd st,398 e 52nd stnew york ny 10022,Italian,Yes,1
466,1252,1252,3048,1259,num pang sandwich shop,75 9th ave ,"75 9th ave new york city, ny 10011-7006",Fast Food,Yes,beyond sushi,75 9th ave,75 9th avenew york ny 10011,Sushi Bars;Vegan;Kosher,Yes,0
63,162,162,407,2250,david burke kitchen,23 grand st ,"23 grand st new york city, ny 10013-1618",American;Vegetarian Friendly;Gluten Free Options,No,david burke kitchen,23 grand st,23 grand stnew york ny 10013,American (New);Steakhouses,No,1
105,285,285,707,1545,little italy nyc,151 mulberry st ,"151 mulberry st new york city, ny 10013-4721",Italian,Yes,aunt jake’s,151 mulberry st,151 mulberry stnew york ny 10013,Italian;Wine Bars;Pasta Shops,Yes,0
536,1467,1467,3506,2540,firenze ristorante,1555 2nd ave. ,"1555 2nd ave. new york, ny 10028 new york city, ny 10028-4127",Italian;Gluten Free Options,Yes,firenze ristorante,1555 2nd ave,1555 2nd avenew york ny 10028,Italian,Yes,1
568,1551,1551,3718,2468,toro,85 10th ave ,"85 10th ave new york city, ny 10011-4725",Spanish;Mediterranean;Gluten Free Options,No,toro,85 10th ave,85 10th avenew york ny 10011,Tapas/Small Plates;Spanish;Tapas Bars,Yes,1
529,1441,1441,3436,1746,shake shack,154 e 86th st ,"154 e 86th st new york city, ny 10028-2107",American;Fast Food,Yes,shake shack,154 e 86th st,154 e 86th stnew york ny 10120,Burgers;Juice Bars & Smoothies;Ice Cream & Frozen Yogurt,Yes,1
592,1611,1611,3863,436,barilla restaurants,1290 avenue of the americas ,"1290 avenue of the americas new york city, ny 10104-0101",Italian;Pizza;Vegetarian Friendly,Yes,chick-fil-a,1000 avenue of the americas,1000 avenue of the americasnew york ny 10018,Fast Food,Yes,0
93,247,247,639,1896,vin et fleurs,69 thompson st ,"69 thompson st new york city, ny 10012-4368",French;Vegetarian Friendly,No,vin et fleurs,69 thompson st,69 thompson stnew york ny 10012,Wine Bars;French;Breakfast & Brunch,Yes,1
389,1062,1062,2695,1965,boqueria ues,1460 2nd ave ,"1460 2nd ave new york city, ny 10075-2273",Mediterranean;Spanish;Vegetarian Friendly,Yes,boqueria - upper eat side,1460 2nd ave,1460 2nd avenew york ny 10075,Tapas/Small Plates;Spanish;Tapas Bars,Yes,0
478,1285,1285,3110,1087,chelsea thai,75 9th ave ,"75 9th ave new york city, ny 10011-7006",Asian;Thai;Vegetarian Friendly,Yes,chelsea market,75 9th ave,75 9th avenew york ny 10011,Public Markets,No,1
412,1104,1104,2783,1166,t salon chelsea market,75 9th ave ,"75 9th ave new york city, ny 10011-7006",,No,cull & pistol oyster bar,75 9th ave,75 9th avenew york ny 10011,Seafood;Wine Bars,No,0
435,1172,1172,2916,2976,il mulino,86 w 3rd st ,"86 w 3rd st new york city, ny 10012-1095",Italian;Vegetarian Friendly;Gluten Free Options,No,il mulino new york - downtown,86 w 3rd st,86 w 3rd stnew york ny 10012,Italian,Yes,1
198,510,510,1265,1437,londel's supper club,2620 frederick douglass blvd ,"2620 frederick douglass blvd new york city, ny 10030-1704",American,No,lido,2168 frederick douglass blvd,2168 frederick douglass blvdnew york ny 10026,Italian;Breakfast & Brunch;Cocktail Bars,Yes,0
145,385,385,965,2894,uogashi,188 1st ave ,"188 1st ave new york city, ny 10009-4003",,No,uogashi,188 1st ave,188 1st avenew york ny 10009,Sushi Bars;Japanese,No,1
150,394,394,985,2862,american cut steakhouse midtown,109 e 56th st ,"109 e 56th st new york city, ny 10022-2661",American;Steakhouse;Gluten Free Options,No,american cut steakhouse midtown,109 e 56th st,109 e 56th stnew york ny 10022,Steakhouses;American (New),Yes,1
39,100,100,266,2219,estela,47 e houston st ,"47 e houston st new york city, ny 10012-2749",Vegetarian Friendly;Gluten Free Options,No,estela,47 e houston st,47 e houston stnew york ny 10012,American (New);Breakfast & Brunch;Cocktail Bars,No,1
549,1498,1498,3574,1808,benito one,174 mulberry st ,"174 mulberry st new york city, ny 10013-3759",Italian;Vegetarian Friendly;Vegan Options,Yes,benito one,174 mulberry st,174 mulberry stnew york ny 10013,Italian,Yes,1
403,1091,1091,2758,2059,mari vanna,41 e 20th st ,"41 e 20th st new york city, ny 10003-1324",European;Eastern European;Russian,Yes,mari vanna,41 e 20th st,41 e 20th stnew york ny 10003,Russian,Yes,1
322,847,847,2181,2103,the press lounge,653 11th ave ,"653 11th ave new york city, ny 10036-2004",Bar,No,the press lounge,653 11th avefl 16,653 11th avefl 16new york ny 10036,Lounges,No,1
253,671,671,1756,1204,hometown bar-b-que,"454 van brunt st brooklyn, ny 11231-101","454 van brunt st brooklyn, ny 11231-1015",American;Southwestern;Barbecue,Yes,hometown bar-b-que,454 van brunt stbrooklyn ,454 van brunt stbrooklyn ny 11231,Barbeque;Smokehouse,Yes,1
376,1031,1031,2646,2608,upstairs at the kimberly,145 e 50th st ,"145 e 50th st new york city, ny 10022-9502",American;Bar,No,upstairs at the kimberly,145 e 50th stfl 31,145 e 50th stfl 31new york ny 10022,Lounges;Breakfast & Brunch;Sandwiches,No,1
69,174,174,440,218,sugar hill cafe,410 w 145th st ,"410 w 145th st new york city, ny 10031-5220",Cafe,No,sugar hill cafe,410 w 145th st,410 w 145th stnew york ny 10031,Coffee & Tea;Cafes,Yes,1
2,2,2,15,606,blue maiz,606 8th ave ,"606 8th ave new york city, ny 10018-3008",Mexican;Latin;Fast Food,Yes,blue maiz,606 8th ave,606 8th avenew york ny 10018,Mexican,Yes,1
340,892,892,2270,3146,sarabeth's central park south,40 central park s ,"40 central park s new york city, ny 10019-1633",American;Soups;Vegetarian Friendly,Yes,bobby van’s cps,40 central park s,40 central park snew york ny 10019,Steakhouses;American (New),Yes,0
221,596,596,1504,3018,gotham bar & grill,12 e 12th st ,"12 e 12th st new york city, ny 10003-4428",American;Vegetarian Friendly;Vegan Options,No,gotham bar and grill,12 e 12th st,12 e 12th stnew york ny 10003,American (New);Bars,No,1
562,1537,1537,3677,1589,subway,132 w 31st st ,"132 w 31st st new york city, ny 10001-3401",,No,friedman’s,132 w 31st st,132 w 31st stnew york ny 10001,American (New);Gluten-Free;Breakfast & Brunch,Yes,0
146,387,387,975,23,ray's pizza,27 prince st ,"27 prince st new york city, ny 10012-3551",Italian;Pizza,Yes,prince street pizza,27 prince st,27 prince stnew york ny 10012,Pizza,Yes,0
289,765,765,1943,2892,smith & wollensky,797 3rd ave ,"797 3rd ave new york city, ny 10022-6226",American;Steakhouse;Gluten Free Options,No,smith & wollensky,797 3rd ave,797 3rd avenew york ny 10022,Steakhouses,No,1
241,635,635,1613,2918,kajitsu,125 e 39th st ,"125 e 39th st new york city, ny 10016-0960",Japanese;Asian;Vegetarian Friendly,No,kajitsu,125 e 39th st,125 e 39th stnew york ny 10016,Japanese;Vegetarian;Vegan,No,1
394,1071,1071,2723,2139,caffe dei fiori,973 lexington ave ,"973 lexington ave new york city, ny 10021-5101",Italian;Mediterranean;Contemporary,No,caffe dei fiori,973 lexington ave,973 lexington avenew york ny 10021,Italian,Yes,1
494,1340,1340,3220,2383,souk and sandwich,117 avenue of the americas ,"117 avenue of the americas new york city, ny 10013-1933",Lebanese;Middle Eastern;Fast Food,No,48 lounge,1221 avenue of the americas,1221 avenue of the americasnew york ny 10020,Lounges;Venues & Event Spaces,No,0
114,306,306,746,1894,cajun sea,32 w 33rd st ,"32 w 33rd st new york city, ny 10001-3302",American;Seafood;Bar,Yes,cajunsea & oyster bar,32 w 33rd st,32 w 33rd stnew york ny 10001,Cajun/Creole;Seafood;Breakfast & Brunch,Yes,1
597,1621,1621,3882,2275,atlantic grill at lincoln center,49 w 64th st ,"49 w 64th st new york city, ny 10023-6731",American;Seafood;Sushi,No,atlantic grill,49 w 64th st,49 w 64th stnew york ny 10023,American (New);Seafood;Sushi Bars,No,1
475,1278,1278,3100,792,wichcraft,61 w 62nd st ,"61 w 62nd st new york city, ny 10023-7015",Cafe;Soups,Yes,david rubenstein atrium,61 w 62nd st,61 w 62nd stnew york ny 10023,Coffee & Tea;Performing Arts,Yes,0
456,1228,1228,3029,2327,lady mendl's,56 irving pl ,"56 irving pl new york city, ny 10003-2314",British,No,cibar,56 irving pl,56 irving plnew york ny 10003,Lounges,No,0
176,461,461,1116,806,crocodile lounge,325 e 14th st ,"325 e 14th st new york city, ny 10003-4255",American;Bar;Pizza,No,crocodile lounge,325 e 14th st,325 e 14th stnew york ny 10003,Lounges,No,1
532,1455,1455,3476,2562,tbar,1278 3rd ave ,"1278 3rd ave new york city, ny 10021-3656",American;Steakhouse;Gluten Free Options,Yes,tbar,1278 3rd ave,1278 3rd avenew york ny 10021,Steakhouses;American (New);Seafood,Yes,1
168,440,440,1075,1124,the bread factory,600 9th ave ,"600 9th ave new york city, ny 10036-3701",American;Cafe,Yes,red poke,600 9th ave,600 9th avenew york ny 10036,Poke;Korean;Hawaiian,Yes,0
347,932,932,2427,876,kiss my slice,274 w 40th st ,"274 w 40th st new york city, ny 10018-1519",Italian;Pizza;Fast Food,Yes,kiss my slice,274 w 40th st,274 w 40th stnew york ny 10018,Pizza;Italian,Yes,1
417,1120,1120,2812,436,meatball obsession,510 avenue of the americas ,"510 avenue of the americas new york city, ny 10011-8412",Fast Food;Italian,Yes,chick-fil-a,1000 avenue of the americas,1000 avenue of the americasnew york ny 10018,Fast Food,Yes,0
518,1411,1411,3386,2854,nusr-et,60 w 53rd st ,"60 w 53rd st new york city, ny 10019-6106",American;International,No,nusr-et,60 w 53rd st,60 w 53rd stnew york ny 10019,Steakhouses;Turkish,No,1
428,1147,1147,2863,1956,antica ristorante,8 stone st ,"8 stone st new york city, ny 10004-2202",Italian,No,antica ristorante,8 stone st,8 stone stnew york ny 10004,Italian,Yes,1
415,1117,1117,2806,3136,the wright,1071 5th ave ,"1071 5th ave new york city, ny 10128-0112",American;Gluten Free Options;Vegetarian Friendly,No,the wright,1071 5th ave1071 5th ave,1071 5th ave1071 5th avenew york ny 10128,American (New),No,1
136,364,364,919,2383,joseph's,1240 avenue of the americas ,"1240 avenue of the americas new york city, ny 10020-1505",American;Seafood,No,48 lounge,1221 avenue of the americas,1221 avenue of the americasnew york ny 10020,Lounges;Venues & Event Spaces,No,0
507,1376,1376,3292,2875,potbelly sandwich works,30 rockefeller plz ,"30 rockefeller plz new york city, ny 10112-0015",American;Fast Food;Soups,Yes,bar sixtyfive,30 rockefeller plzfl 65,30 rockefeller plzfl 65new york ny 10112,Cocktail Bars;Venues & Event Spaces;American (New),No,0
254,673,673,1760,72,juicology,387 8th ave ,"387 8th ave new york city, ny 10001-4811",Healthy,No,juicology,387 8th ave,387 8th avenew york ny 10001,Salad;Juice Bars & Smoothies;Sandwiches,Yes,1
414,1116,1116,2803,2033,san carlo osteria piemonte,90 thompson st ,"90 thompson st new york city, ny 10012-3744",Italian;Mediterranean;Vegetarian Friendly,Yes,san carlo osteria piemonte,90 thompson st,90 thompson stnew york city ny 10012,Italian;Wine Bars;Cocktail Bars,No,1
375,1030,1030,2644,1828,kings of kobe,790 9th ave ,"790 9th ave new york city, ny 10019-5613",American,Yes,kings of kobe,790 9th ave,790 9th avenew york ny 10019,Hot Dogs;Burgers;Breakfast & Brunch,Yes,1
533,1457,1457,3482,2047,yakitori totto,251 w 55th st ,"251 w 55th st new york city, ny 10019-5202",Japanese;Asian;Gluten Free Options,No,yakitori totto,251 w 55th stfl 2,251 w 55th stfl 2new york ny 10019,Japanese,No,1
514,1395,1395,3345,2434,bar ciccio alimentari,190 avenue of the americas ,"190 avenue of the americas new york city, ny 10013-1222",Italian;Vegetarian Friendly,No,stk midtown,1114 avenue of the americas,1114 avenue of the americasnew york ny 10036,Steakhouses;American (New);Cocktail Bars,No,0
255,674,674,1761,2303,villa berulia,107 e 34th st ,"107 e 34th st new york city, ny 10016-4601",Croatian;Italian;European,Yes,villa berulia,107 e 34th st,107 e 34th stnew york ny 10016,Italian,Yes,1
232,619,619,1567,2950,sushi of gari 46,347 w 46th st ,"347 w 46th st new york city, ny 10036-3815",Japanese;Sushi;Asian,Yes,sushi of gari 46,347 w 46th st,347 w 46th stnew york ny 10036,Sushi Bars;Japanese,Yes,1
133,350,350,872,1064,havana social,688 10th ave ,"688 10th ave new york city, ny 10019-7104",Cuban;Latin;Caribbean,Yes,havana social - hell’s kitchen,688 10th ave,688 10th avenew york ny 10019,Cuban;Cocktail Bars;Tapas Bars,Yes,1
33,83,83,206,2084,locanda verde,377 greenwich st ,"377 greenwich st new york city, ny 10013-2338",American;Italian;Vegetarian Friendly,Yes,locanda verde,377 greenwich st,377 greenwich stnew york ny 10013,Italian;Delis;Cocktail Bars,Yes,1
88,239,239,614,1554,pizzeria sirenetta,568 amsterdam ave ,"568 amsterdam ave new york city, ny 10024-2830",Italian;Pizza;Vegetarian Friendly,Yes,pizzeria sirenetta,568 amsterdam ave,568 amsterdam avenew york ny 10024,Pizza;Italian;Wine Bars,Yes,1
290,766,766,1950,2366,the breslin,16 w 29th st ,"16 w 29th st new york city, ny 10001-4502",American;Bar;Gastropub,No,the breslin,16 w 29th st,16 w 29th stnew york ny 10001,Pubs;Gastropubs;Breakfast & Brunch,No,1
44,110,110,287,2383,subway,1285 avenue of the americas ,"1285 avenue of the americas new york city, ny 10019-6031",,No,48 lounge,1221 avenue of the americas,1221 avenue of the americasnew york ny 10020,Lounges;Venues & Event Spaces,No,0
353,947,947,2461,2880,sushi amane,245 e 44th st ,"245 e 44th st new york city, ny 10017-4337",Japanese;Sushi,No,sushi amane,245 e 44th st,245 e 44th stnew york ny 10017,Sushi Bars,No,1
341,893,893,2284,1044,charles pan fried chicken,2461 frederick douglass blvd ,"2461 frederick douglass blvd new york city, ny 10027-7766",American,Yes,serengeti teas & spices,2292 frederick douglass blvd,2292 frederick douglass blvdnew york ny 10027,Coffee & Tea;Tea Rooms,Yes,0
61,159,159,400,653,tehuitzingo,695 10th ave ,"695 10th ave new york city, ny 10036-2906",Mexican;Latin;Spanish,Yes,tehuitzingo,695 10th ave,695 10th avenew york ny 10036,Grocery;Mexican;Delis,Yes,1
199,520,520,1294,2872,rotisserie georgette,14 e 60th st ,"14 e 60th st new york city, ny 10022-1006",French;Gluten Free Options,Yes,avra madison,14 e 60th st,14 e 60th stnew york ny 10022,Greek;Seafood;Mediterranean,Yes,0
401,1089,1089,2751,2270,nur,34 e 20th st ,"34 e 20th st new york city, ny 10003-1321",Mediterranean;Middle Eastern;Israeli,No,nur,34 e 20th st,34 e 20th stnew york ny 10003,Middle Eastern,No,1
576,1577,1577,3783,1938,friedman's lunch,75 9th ave ,"75 9th ave new york city, ny 10011-7006",American;Vegetarian Friendly;Vegan Options,Yes,buddakan,75 9th ave,75 9th avenew york ny 10011,Chinese;Bars;Asian Fusion,Yes,0
558,1524,1524,3659,2905,blt steak,106 e 57th st ,"106 e 57th st new york city, ny 10022-2669",American;Steakhouse,No,blt steak,106 e 57th st,106 e 57th stnew york ny 10022,Steakhouses,Yes,1
420,1128,1128,2823,2952,sushi ishikawa,419 e 74th st ,"419 e 74th st new york city, ny 10021-3949",Japanese,No,sushi ishikawa,419 e 74th st,419 e 74th stnew york ny 10021,Sushi Bars,No,1
364,992,992,2571,2840,arlington club,1032 lexington ave ,"1032 lexington ave new york city, ny 10021-3505",Sushi;American;Steakhouse,No,lexington club,1032 lexington ave,1032 lexington avenew york ny 10021,Steakhouses,Yes,1
218,591,591,1474,2760,the park room at the helmsley park lane hotel,36 central park s ,"36 central park s new york city, ny 10019-1600",American,No,the park room,36 central park s,36 central park snew york ny 10019,American (New),No,1
302,798,798,2027,1182,balade - your way,144 w 37th st ,"144 w 37th st new york city, ny 10018-6910",Mediterranean;Middle Eastern;Lebanese,Yes,balade - your way,144 west 37th st,144 west 37th stnew york ny 10018,Lebanese;Mediterranean,Yes,1
531,1453,1453,3454,2695,sushiden madison ave,19 e 49th st ,"19 e 49th st new york city, ny 10017-1003",Japanese;Sushi;Asian,No,sushiden madison avenue,19 e 49th st,19 e 49th stnew york ny 10017,Sushi Bars;Japanese,Yes,1
297,789,789,2015,103,fat cat kitchen,223 e 14th st ,"223 e 14th st new york city, ny 10003-4120",American;Cafe;Vegetarian Friendly,Yes,fat cat kitchen,223 e 14th st,223 e 14th stnew york ny 10003,Sandwiches;Bakeries;Coffee & Tea,Yes,1
73,183,183,465,3022,jungsik,2 harrison st ,"2 harrison st new york city, ny 10013-2810",Asian;Korean;Gluten Free Options,No,jungsik,2 harrison st,2 harrison stnew york ny 10013,Korean,No,1
295,785,785,2000,2506,le rivage,340 w 46th st ,"340 w 46th st new york city, ny 10036-3928",French;European;Vegetarian Friendly,No,le rivage,340 w 46th st,340 w 46th stnew york ny 10036,French,No,1
35,90,90,234,676,park italian gourmet,60 w 45th st frnt 1 ,"60 w 45th st frnt 1 new york city, ny 10036-4207",Italian;Delicatessen,No,park italian gourmet,60 w 45th st,60 w 45th stnew york ny 10036,Italian;Delis;Sandwiches,Yes,1
421,1130,1130,2826,1990,lupa,170 thompson st ,"170 thompson st new york city, ny 10012-2575",Italian;Vegetarian Friendly;Vegan Options,No,lupa,170 thompson st,170 thompson stnew york ny 10012,Italian;American (New),No,1
29,75,75,188,845,great ny noodletown,28 1/2 bowery ,"28 1/2 bowery new york city, ny 10013-5102",Chinese;Asian,Yes,great ny noodle town,28 bowery,28 bowerynew york ny 10013,Cantonese;Noodles,Yes,1
519,1412,1412,3388,2382,gobo - greenwich village,401 avenue of the americas ,"401 avenue of the americas new york city, ny 10014-3516",Asian;Japanese;Vegan Options,No,48 lounge,1221 avenue of the americas,1221 avenue of the americasnew york ny 10020,Lounges;Venues & Event Spaces,No,0
501,1357,1357,3273,2564,westville,210 w 10th st ,"210 w 10th st new york city, ny 10014-6411",American;Healthy;Vegetarian Friendly,Yes,sushi on jones,210 w 10th st,210 w 10th stnew york ny 10014,Sushi Bars;Japanese,Yes,0
508,1377,1377,3292,2876,potbelly sandwich works,30 rockefeller plz ,"30 rockefeller plz new york city, ny 10112-0015",American;Fast Food;Soups,Yes,rainbow room,30 rockefeller plzfl 65,30 rockefeller plzfl 65new york ny 10112,American (New);Venues & Event Spaces,No,0
309,809,809,2064,1889,sweetgreen,1164 broadway ,"1164 broadway new york city, ny 10001-7512",American;Fast Food;Healthy,Yes,sweetgreen,1164 broadway,1164 broadwaynew york ny 10001,Salad;Vegetarian,Yes,1
572,1560,1560,3749,2814,crown,24 e 81st st ,"24 e 81st st new york city, ny 10028-0226",Contemporary,No,sistina,24 e 81st st,24 e 81st stnew york ny 10028,Italian,No,0
217,588,588,1463,2865,the palm tribeca,206 west st ,"206 west st new york city, ny 10282-2101",American;Steakhouse;Gluten Free Options,No,the palm tribeca,206 west st,206 west stnew york ny 10282,Steakhouses;Seafood,Yes,1
27,71,71,180,3003,marea,240 central park s ,"240 central park s new york city, ny 10019-1457",Italian;Seafood;Mediterranean,No,marea,240 central park s,240 central park snew york ny 10019,Seafood;Bars,No,1
491,1324,1324,3182,2660,sardi's restaurant,234 w 44th st ,"234 w 44th st new york city, ny 10036-3909",Italian;American;International,No,sardi’s,234 w 44th st,234 w 44th stnew york ny 10036,American (Traditional);Italian;Steakhouses,No,1
589,1607,1607,3859,2280,rouge tomate chelsea,126 w 18th st ,"126 w 18th st new york city, ny 10011-5403",American;Healthy;Vegetarian Friendly,No,rouge tomate chelsea,126 w 18th st,126 w 18th stnew york ny 10011,American (New);Bars,No,1
156,409,409,1014,2984,al fiori,400 5th ave ,"400 5th ave new york city, ny 10018-2753",Italian;French;Seafood,No,ai fiori,400 5th aveste 2,400 5th aveste 2new york ny 10018,Italian;French;Cocktail Bars,No,1
492,1329,1329,3193,2609,fiorini,209 e 56th st ,"209 e 56th st new york city, ny 10022-3705",Italian,No,amata,209 e 56th st,209 e 56th stnew york ny 10022,Italian,Yes,0
505,1374,1374,3292,1972,potbelly sandwich works,30 rockefeller plz ,"30 rockefeller plz new york city, ny 10112-0015",American;Fast Food;Soups,Yes,bar sixtyfive,30 rockefeller plzfl 65,30 rockefeller plzfl 65new york ny 10112,Cocktail Bars;Venues & Event Spaces;American (New),No,0
138,369,369,925,936,juliana's pizza,"19 old fulton st brooklyn, ny 11201-132","19 old fulton st brooklyn, ny 11201-1322",Pizza,Yes,juliana’s pizza,19 old fulton stbrooklyn ,19 old fulton stbrooklyn ny 11201,Pizza,Yes,1
212,558,558,1396,1797,barney greengrass,541 amsterdam ave ,"541 amsterdam ave new york city, ny 10024-2803",American;Delicatessen;Vegetarian Friendly,Yes,barney greengrass,541 amsterdam ave,541 amsterdam avenew york ny 10024,Specialty Food;Delis;Bagels,Yes,1
104,284,284,706,3034,michael jordan's the steak house n.y.c.,23 vanderbilt ave ,"23 vanderbilt ave new york city, ny 10017-3804",American;Steakhouse;Gluten Free Options,No,michael jordan’s the steak house n.y.c,23 vanderbilt avegrand central terminal,23 vanderbilt avegrand central terminalnew york ny 10017,Steakhouses;Cocktail Bars;Wine Bars,No,1
571,1559,1559,3748,2523,cellini,65 e 54th st ,"65 e 54th st new york city, ny 10022-4224",Italian;Vegetarian Friendly;Gluten Free Options,No,cellini restaurant,65 e 54th st,65 e 54th stnew york ny 10022,Italian,Yes,1
506,1375,1375,3292,1973,potbelly sandwich works,30 rockefeller plz ,"30 rockefeller plz new york city, ny 10112-0015",American;Fast Food;Soups,Yes,rainbow room,30 rockefeller plzfl 65,30 rockefeller plzfl 65new york ny 10112,American (New);Venues & Event Spaces,No,0
527,1439,1439,3432,2464,brasserie 8 1/2,9 w 57th st ,"9 w 57th st new york city, ny 10019-2701",French;Vegetarian Friendly;Gluten Free Options,No,brasserie 8 1/2,9 w 57th st,9 w 57th stnew york ny 10019,American (New);French,No,1
215,581,581,1435,2700,alcala,246 e 44th st ,"246 e 44th st new york city, ny 10017-4357",Mediterranean;Spanish;Vegetarian Friendly,No,alcala restaurant,246 e 44th st,246 e 44th stnew york ny 10017,Spanish;Basque,Yes,1
534,1459,1459,3486,2363,44 & x,622 10th ave ,"622 10th ave new york city, ny 10036-3004",American;Vegetarian Friendly;Vegan Options,No,44 & x hell’s kitchen,622 10th ave,622 10th avenew york ny 10036,American (New);Breakfast & Brunch;Bars,Yes,1
189,493,493,1211,428,maoz vegetarian,38 union sq e ,"38 union sq e new york city, ny 10003-3210",Fast Food;Middle Eastern;Israeli,Yes,maoz vegetarian,38 union sq e,38 union sq enew york ny 10003,Middle Eastern;Vegetarian;Fast Food,Yes,1
