Name,Address,Phone,Cuisines,Take Out,Saturday Opening time,Saturday Closing time,Sunday Opening time,Sunday Closing time
Royal Halal,44TH St And 6th AveNew York NY 10018,(347) 724-0504,Halal;Food Trucks;Street Vendors,Yes,10:00 AM,12:00 AM,10:00 AM,12:00 AM
Govinda’s Vegetarian,305 Schermerhorn StBrooklyn NY 11217,(347) 249-4064,Vegetarian;Vegan;Indian,Yes,CLOSED,CLOSED,CLOSED,CLOSED
Mi Mariachi Taqueria,213 Sip AveJersey City NJ 07306,(201) 222-1998,Mexican,Yes,10:00 AM,9:30 PM,10:00 AM,9:30 PM
Chobani SoHo,152 Prince StNew York NY 10012,(212) 364-3970,Coffee & Tea;Sandwiches;Cafes,Yes,8:30 AM,7:00 PM,8:30 AM,7:00 PM
LaGuardia Airport,94-00 Grand Central PkwyEast Elmhurst NY 11371,(718) 533-3400,Airports,No,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS
Vogue Café,177 York StJersey City NJ 07302,(201) 763-6972,Cafes;Coffee & Tea;Bakeries,Yes,8:00 AM,5:00 PM,8:00 AM,5:00 PM
The Casbah - Halal Cart,Corner of 66th St & Columbus AveNew York NY 10023,(929) 401-8654,Halal;Street Vendors,Yes,10:00 AM,11:00 PM,10:00 AM,11:00 PM
Frenchy’s Food Truck,341 Eastern PkwyBrooklyn NY 11238,(646) 468-2861,Coffee & Tea;French;Food Trucks,Yes,7:00 AM,3:00 PM,CLOSED,CLOSED
Louie’s Pizza,81-34 Baxter AveElmhurst NY 11373,(718) 440-9346,Italian;Pizza,Yes,11:00 AM,11:00 PM,CLOSED,CLOSED
Beard Papa’s,2167 BroadwayNew York NY 10024,(212) 799-3770,Bakeries;Desserts;Coffee & Tea,Yes,10:00 AM,9:00 PM,10:00 AM,9:00 PM
Taqueria Tlaxcalli,2103 Starling AveBronx NY 10462,(347) 851-3085,Mexican,Yes,10:00 AM,1:00 AM,10:00 AM,12:00 AM
Gaia Italian Café,251 E Houston StNew York NY 10002,(646) 350-3977,Italian,No,11:00 AM,10:00 PM,CLOSED,CLOSED
The Commissioner,247 5th AveBrooklyn NY 11215,(347) 689-3968,Pubs,No,12:00 PM,4:00 AM,12:00 PM,2:00 AM
Mysttik Masaala,375 Park AveCorner of 53rd streetNew York NY 10022,(917) 306-3128,Food Trucks;Indian,Yes,CLOSED,CLOSED,CLOSED,CLOSED
Breakroom,83 Baxter StNew York NY 10013,(212) 227-2802,Burgers;Mexican,Yes,11:00 AM,11:00 PM,11:00 AM,10:00 PM
Prato Bakery,61 Erie StJersey City NJ 07302,(201) 798-8900,Coffee & Tea;Bakeries;Pizza;Sandwiches,Yes,7:30 AM,7:30 PM,8:30 AM,7:30 PM
NY Dosas,50 Washington Sq SNew York NY 10014,(917) 710-2092,Indian;Food Stands;Vegetarian,Yes,11:00 AM,4:00 PM,CLOSED,CLOSED
Pommes Frites,128 Macdougal StNew York NY 10012,(212) 674-1234,Belgian;Specialty Food;Fast Food,Yes,11:00 AM,3:00 AM,11:00 AM,1:00 AM
Doaba Deli,945 Columbus AveNew York NY 10025,(212) 222-2636,Indian;Vegetarian,Yes,6:00 AM,5:30 AM,6:00 AM,5:30 AM
Giovannis Deli,267 Centre AveSecaucus NJ 07094,(201) 617-5100,Delis;Italian,Yes,8:00 AM,5:00 PM,9:00 AM,4:00 PM
Parisi Bakery,198 Mott StNew York NY 10012,(212) 226-6378,Bakeries;Sandwiches,Yes,7:30 AM,4:00 PM,CLOSED,CLOSED
Patisserie Florentine,280 E 10th StNew York NY 10009,(212) 995-0300,Desserts;Coffee & Tea;Bakeries,Yes,8:00 AM,6:00 PM,8:00 AM,6:00 PM
Roots Café,639A 5th AveBrooklyn NY 11215,(347) 223-4614,Coffee & Tea;Breakfast & Brunch;Sandwiches,Yes,8:00 AM,6:00 PM,8:00 AM,6:00 PM
Juicology,387 8th AveNew York NY 10001,(212) 695-0628,Salad;Juice Bars & Smoothies;Sandwiches,Yes,8:15 AM,6:00 PM,8:15 AM,5:00 PM
Sunny’s Bar,253 Conover StBrooklyn NY 11231,(718) 624-2932,Bars,No,11:00 AM,4:00 AM,11:00 AM,12:00 AM
Brooklyn Kolache,520 Dekalb AveBrooklyn NY 11205,(718) 398-1111,Coffee & Tea;Bakeries;Cafes,Yes,8:00 AM,8:00 PM,8:00 AM,7:00 PM
Round K,99 Allen StNew York NY 10002,(917) 475-1423,Coffee & Tea;Breakfast & Brunch;Bagels,Yes,9:00 AM,12:00 AM,9:00 AM,10:00 PM
Mamoun’s Falafel,119 MacDougal StNew York NY 10012,(212) 674-8685,Middle Eastern;Falafel,Yes,11:00 AM,5:00 AM,11:00 AM,1:00 AM
12 Corners Coffee,155 E BroadwayNew York NY 10002,(212) 625-8888,Coffee & Tea,Yes,8:00 AM,6:00 PM,8:00 AM,6:00 PM
The Jolly Goat Coffee Bar,515 W 47th StNew York NY 10036,(646) 509-8957,Coffee & Tea;Cafes;Bagels,Yes,7:00 AM,6:00 PM,7:00 AM,6:00 PM
The GoGo Grill,Bowling Green Park1 BroadwayNew York NY 10004,(646) 425-1905,Food Trucks;Vegetarian;Sandwiches,Yes,CLOSED,CLOSED,CLOSED,CLOSED
McSorleys Old Ale House,15 E 7th StNew York NY 10003,(212) 473-9148,Dive Bars;Breweries,No,11:00 AM,1:00 AM,1:00 PM,1:00 AM
Vito’s Italian Deli,806 Washington StHoboken NJ 07030,(201) 792-4944,Delis,Yes,8:00 AM,5:00 PM,9:00 AM,3:00 PM
Pause Cafe,3 Clinton StNew York NY 10002,(212) 677-5415,Moroccan;Cafes;Juice Bars & Smoothies,Yes,8:00 AM,8:00 PM,8:00 AM,7:00 PM
Natural Blend,769A Washington AveBrooklyn NY 11238,(718) 783-1737,Vegetarian;Juice Bars & Smoothies;Salad,Yes,9:30 AM,11:00 PM,10:00 AM,7:30 PM
Teixeira’s Bakery,184 Ferry StNewark NJ 07105,(973) 344-4902,Bakeries;Coffee & Tea,Yes,5:00 AM,8:00 PM,5:00 AM,8:00 PM
The Blue Light Speak Cheesy,1112 Bedford AveBrooklyn NY 11216,(714) 519-6374,Sandwiches;Breakfast & Brunch,Yes,CLOSED,CLOSED,CLOSED,CLOSED
Sunny and Annie’s,94 Ave BNew York NY 10003,(212) 677-3131,Sandwiches;Delis;Grocery,Yes,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS
Bolivian Llama Party,57th St 8th AveNew York NY 10019,(347) 395-5481,Food Stands;Latin American,Yes,10:30 AM,9:00 PM,10:30 AM,8:00 PM
T-Swirl Crêpe,2 Mott StNew York NY 10013,(646) 726-4166,Desserts;Gluten-Free;Creperies,Yes,11:00 AM,11:00 PM,11:00 AM,11:00 PM
Varrio 408,412 5th AvePark Slope NY 11215,(718) 398-4300,Mexican,Yes,11:30 AM,11:00 PM,11:30 AM,10:00 PM
Bread & Joe,618 4th AveBrooklyn NY 11215,(516) 945-9711,Coffee & Tea;Bakeries;Bubble Tea,Yes,8:00 AM,4:00 PM,CLOSED,CLOSED
Uncle Gussy’s,345 Park AveNew York NY 10154,(929) 600-1111,Food Trucks;Greek,Yes,CLOSED,CLOSED,CLOSED,CLOSED
Pinsa Lab,86 5th AveBrooklyn NY 11217,(347) 763-1758,Pizza;Italian,Yes,11:30 AM,11:00 PM,11:30 AM,10:00 PM
Leo’s Deli Sandwich Shop,1153 Forest AveStaten Island NY 10310,(718) 815-8757,Delis;Sandwiches;Salad,Yes,7:00 AM,3:00 PM,7:00 AM,3:00 PM
Morningside Coffee & Biscuits,547B Malcolm X BlvdNew York NY 10037,(917) 639-3181,Coffee & Tea;Breakfast & Brunch;Bakeries,Yes,8:00 AM,5:00 PM,8:00 AM,5:00 PM
Bang Cookies,1183 Summit AveJersey City NJ 07307,(888) 834-8885,Bakeries;Desserts;Food Stands,Yes,11:00 AM,12:00 AM,11:00 AM,12:00 AM
Tropical Revival Restaurant & Catering,12-40 Clintonville StWhitestone NY 11357,(917) 563-7879,Caribbean;Soul Food,Yes,11:30 AM,7:00 PM,CLOSED,CLOSED
bwè kafe,1002 Washington StHoboken NJ 07030,(201) 683-0045,Cafes;Coffee & Tea,Yes,8:00 AM,7:00 PM,8:00 AM,7:00 PM
Shu Jiao Fu Zhou Cuisine Restaurant,118 Eldridge StNew York NY 10002,(212) 625-2532,Chinese,Yes,9:30 AM,9:30 PM,9:30 AM,9:30 PM
Ziki Bar,19-23 Ditmars BlvdAstoria NY 11105,(718) 606-1391,Breakfast & Brunch;Cafes;Tiki Bars,Yes,10:00 AM,10:00 PM,10:00 AM,8:00 PM
Petee’s Pie Company,61 Delancey StNew York NY 10002,(212) 966-2526,Bakeries;Coffee & Tea;Desserts,Yes,10:00 AM,1:00 AM,10:00 AM,12:00 AM
Old Man Hustle,39 Essex StNew York NY 10002,(212) 253-7747,Cocktail Bars;Dive Bars;Comedy Clubs,No,2:00 PM,1:30 AM,2:00 PM,1:30 AM
Hawa Smoothies & Bubble Tea,422 E 14th StNew York NY 10009,(646) 864-1090,Coffee & Tea;Bubble Tea;Juice Bars & Smoothies,Yes,9:00 AM,9:00 PM,9:00 AM,9:00 PM
Fat Cat Kitchen,223 E 14th StNew York NY 10003,(212) 235-1994,Sandwiches;Bakeries;Coffee & Tea,Yes,8:00 AM,8:00 PM,9:00 AM,4:00 PM
Sweatshop,232 Metropolitan AveWilliamsburg NY 11211,(917) 960-7232,Coffee & Tea;Breakfast & Brunch,Yes,8:00 AM,6:00 PM,8:00 AM,6:00 PM
Voyager Espresso,110 William StLower LevelNew York NY 10038,(646) 885-6792,Coffee & Tea;Cafes,Yes,CLOSED,CLOSED,CLOSED,CLOSED
Omani,160-42 Willets Point BlvdWhitestone NY 11357,(718) 225-2500,Sandwiches,Yes,6:30 AM,10:00 PM,CLOSED,CLOSED
Xe May Sandwich Shop,96 Saint Marks PlNew York NY 10009,(212) 388-1688,Sandwiches;Vietnamese,Yes,12:00 PM,10:00 PM,12:00 PM,10:00 PM
The Panorama of My Silence-Heart,84-73 Parsons BlvdJamaica NY 11432,(718) 206-4960,Coffee & Tea;Vegetarian;Breakfast & Brunch,Yes,8:00 AM,6:00 PM,8:00 AM,6:00 PM
Nam Nam,109 Montrose AveBrooklyn NY 11206,(718) 302-9200,Vietnamese;Coffee & Tea,Yes,11:00 AM,9:00 PM,11:00 AM,9:00 PM
Brooklyn Bagel & Coffee Company,286 8th AveNew York NY 10001,(212) 924-2824,Bagels;Breakfast & Brunch;Cafes,Yes,7:00 AM,8:00 PM,7:00 AM,8:00 PM
Black Rail Coffee,800 Jackson StHoboken NJ 07030,(201) 222-7400,Coffee & Tea;Cafes;Sandwiches,Yes,8:00 AM,5:00 PM,CLOSED,CLOSED
Lamb Noodle Soup,41-28 Main StGolden MallFlushing NY 11355,(412) 862-4678,Chinese;Noodles,Yes,9:00 AM,10:00 PM,9:00 AM,10:00 PM
Cafe Boulis,30-15 31st AveAstoria NY 11106,(718) 806-1014,Bakeries;Coffee & Tea;Donuts,Yes,6:30 AM,10:00 PM,10:00 AM,10:00 PM
A&A The Doubles King,481 Nostrand AveBrooklyn NY 11216,(917) 892-9562,Bakeries;Trinidadian;Fast Food,Yes,8:00 AM,5:00 PM,CLOSED,CLOSED
51st Bakery and Cafe,5-33 51st AveLong Island City NY 11101,(718) 707-0554,Bakeries;Breakfast & Brunch;Wine Bars,Yes,8:00 AM,3:00 PM,8:00 AM,3:00 PM
Taheni Mediterranean Grill,224 4th AveBrooklyn NY 11215,(718) 522-2083,Falafel;Middle Eastern,Yes,12:00 PM,1:00 AM,12:00 PM,10:00 PM
My Pie,690 Lexington AveNew York NY 10022,(212) 317-1850,Pizza,Yes,10:00 AM,9:00 PM,10:00 AM,9:00 PM
Dulce De Leche Bakery,6510 Bergenline AveWest New York NJ 07093,(201) 869-6999,Bakeries;Cafes;Empanadas,Yes,6:00 AM,9:00 PM,7:00 AM,8:00 PM
Tac N Roll,124 E 4th StNew York NY 10003,(212) 353-0800,Tacos;Sandwiches;Desserts,Yes,11:30 AM,10:15 PM,11:30 AM,9:45 PM
Andris Cuban Sandwich King,484 Stuyvesant AveLyndhurst NJ 07071,(201) 939-1110,Cuban;Sandwiches;Coffee & Tea,Yes,6:30 AM,5:00 PM,CLOSED,CLOSED
Taco Mahal,73 7th Ave SNew York NY 10014,(646) 719-1553,Indian;Tacos,Yes,11:00 AM,12:00 AM,11:00 AM,10:00 PM
South,629 5th AveBrooklyn NY 11215,(718) 832-4720,Bars,No,12:00 PM,4:00 AM,12:00 PM,4:00 AM
Pickler & Co,216 E 45th StNew York NY 10017,(646) 869-9026,Coffee & Tea;Sandwiches;Burgers,No,CLOSED,CLOSED,11:00 AM,3:00 PM
Lucia Pizza,136-55 Roosevelt AveFlushing NY 11354,(929) 282-1983,Pizza,Yes,10:30 AM,11:00 PM,11:00 AM,10:00 PM
Postmark Cafe,326 6th StBrooklyn NY 11215,(718) 768-2613,Coffee & Tea;Cafes,Yes,8:00 AM,6:00 PM,CLOSED,CLOSED
Mia’s Bakery,139 Smith StBrooklyn NY 11201,(929) 344-5525,Bakeries;Cafes;Desserts,Yes,7:00 AM,1:00 AM,7:00 AM,11:00 PM
Honey Bakery,673 Bergen AveJersey City NJ 07304,(201) 984-0795,Bakeries;Russian;Korean,Yes,11:00 AM,9:00 PM,11:00 AM,9:00 PM
PLG Coffee House and Tavern,499 Rogers AveBrooklyn NY 11225,(347) 413-7944,Coffee & Tea;Breakfast & Brunch;Sandwiches,Yes,8:00 AM,5:00 PM,9:00 AM,5:00 PM
King Souvlaki,31 St And 31 AveAstoria NY 11105,(917) 416-1189,Greek;Food Trucks,Yes,9:00 AM,5:00 AM,11:00 AM,11:00 PM
Brother Crêpe,42-02 30th AveAstoria NY 11103,(718) 606-0774,Creperies;Juice Bars & Smoothies;Bubble Tea,Yes,11:00 AM,11:00 PM,11:00 AM,10:00 PM
5th Avenue Market & Gourmet Deli,185 5th AveBrooklyn NY 11217,(718) 230-8050,Delis;Grocery,Yes,6:00 AM,5:30 AM,6:00 AM,5:30 AM
Duff’s Brooklyn,168 Marcy AveBrooklyn NY 11211,(718) 599-2092,Dive Bars,No,6:00 PM,4:00 AM,6:00 PM,4:00 AM
Andrew & Frank Deli,2802 23rd AveAstoria NY 11105,(718) 728-9066,Delis;American (Traditional);Sandwiches,Yes,7:00 AM,7:00 PM,CLOSED,CLOSED
Wowfulls,309 E Houston StNew York NY 10002,(917) 299-4616,Desserts;Waffles;Ice Cream & Frozen Yogurt,No,12:00 PM,10:30 PM,12:00 PM,10:30 PM
Sashimi Express,354 E 78th StNew York NY 10075,(929) 231-9376,Sushi Bars;Bubble Tea;Japanese,Yes,12:30 PM,10:00 PM,12:30 PM,9:00 PM
Rizzo Bakery,208 Central AveJersey City NJ 07307,(201) 653-7248,Bakeries;Italian,Yes,9:30 AM,9:00 PM,10:00 AM,9:00 PM
The Doughnut Project,10 Morton StNew York NY 10014,(212) 691-5000,Donuts;Coffee & Tea,Yes,9:00 AM,6:00 PM,9:00 AM,6:00 PM
L & B Spumoni Gardens,2725 86th StBrooklyn NY 11223,(718) 449-1230,Pizza;Italian,Yes,11:00 AM,12:00 AM,11:00 AM,12:00 AM
Luigi’s Pizzeria,326 Dekalb AveBrooklyn NY 11205,(718) 783-2430,Pizza,Yes,11:00 AM,10:00 PM,12:00 PM,9:00 PM
Reyes Deli & Grocery,532 4th AveBrooklyn NY 11215,(718) 369-3211,Grocery;Delis,Yes,7:00 AM,3:00 AM,7:00 AM,1:00 AM
Trapizzino,144 Orchard StNew York NY 10002,(212) 475-2555,Italian;Sandwiches;Pizza,Yes,11:00 AM,3:00 AM,11:00 AM,10:00 PM
Johny’s Luncheonette,124 W 25th StNew York NY 10001,(212) 243-6230,Breakfast & Brunch;Burgers;Sandwiches,Yes,8:30 AM,4:00 PM,8:30 AM,4:00 PM
Taim Mobile Falafel & Smoothie Truck,New York NY 10014,(212) 219-2216,Middle Eastern;Juice Bars & Smoothies;Food Trucks,Yes,CLOSED,CLOSED,CLOSED,CLOSED
Moe’s Doughs Donut Shop,126 Nassau AveBrooklyn NY 11222,(718) 349-1216,Donuts;Coffee & Tea;Breakfast & Brunch,Yes,7:00 AM,9:00 PM,7:00 AM,9:00 PM
Lali Restaurant,630 10th AveNew York NY 10036,(212) 664-1507,Dominican,Yes,9:00 AM,4:00 PM,CLOSED,CLOSED
Family Corner Restaurant,2102 31st StAstoria NY 11105,(718) 204-7915,Greek;American (Traditional);Salad,Yes,6:30 AM,8:30 PM,CLOSED,CLOSED
Banh Mi Saigon,198 Grand StNew York NY 10013,(212) 941-1541,Vietnamese;Sandwiches,Yes,8:00 AM,7:00 PM,8:00 AM,7:00 PM
Rombiolo Bakery Cafe,119 Broughton AveBloomfield NJ 07003,(973) 680-0405,Bakeries;Cafes,Yes,6:00 AM,7:00 PM,7:00 AM,3:00 PM
Perk Kafe,162 E 37th StNew York NY 10016,(212) 686-7375,Coffee & Tea;Bakeries,Yes,7:00 AM,7:00 PM,8:00 AM,7:00 PM
T-Swirl Crêpe,247 E 14th StNew York NY 10003,(212) 614-0200,Desserts;Creperies;Gluten-Free,Yes,11:00 AM,11:00 PM,11:00 AM,11:00 PM
Rex,864 10th AveNew York NY 10019,(212) 757-0580,Coffee & Tea;Sandwiches;Bakeries,Yes,8:00 AM,6:00 PM,8:00 AM,6:00 PM
El Rey Del Taco Truck,3301 30th AveAstoria NY 11103,(347) 754-2966,Mexican;Food Trucks,Yes,11:00 AM,5:00 AM,CLOSED,CLOSED
Charter Coffeehouse,309 Graham AveBrooklyn NY 11211,(347) 721-3735,Coffee & Tea;Hair Salons;Breakfast & Brunch,Yes,8:00 AM,7:00 PM,8:00 AM,7:00 PM
Seven Grams Caffe,275 7th AveNew York NY 10001,(212) 727-1777,Coffee & Tea;Bakeries,Yes,8:00 AM,7:00 PM,8:00 AM,7:00 PM
Luigi’s Pizza,686 5th AveBrooklyn NY 11215,(718) 499-3857,Pizza,Yes,11:00 AM,12:00 AM,CLOSED,CLOSED
Cypress Inn,1702 Stanhope StRidgewood NY 11385,(347) 889-5676,Cafes;Sandwiches;Coffee & Tea,Yes,9:00 AM,6:00 PM,9:00 AM,6:00 PM
Dun-Well Doughnuts,222 Montrose AveBrooklyn NY 11206,(347) 294-0871,Donuts;Coffee & Tea,Yes,8:00 AM,7:00 PM,8:00 AM,7:00 PM
La Margarita Pizza,168 Ludlow StNew York NY 10002,(917) 261-4983,Pizza,Yes,10:00 AM,5:00 AM,10:00 AM,12:00 AM
Sunshine Ice,4514 Park AveWeehawken NJ 07086,(201) 293-5600,Juice Bars & Smoothies;Coffee & Tea;Shaved Ice,Yes,10:00 AM,10:00 PM,11:00 AM,10:00 PM
Juicy Spot Cafe,109 Ludlow StNew York NY 10002,(212) 933-0478,Juice Bars & Smoothies;Coffee & Tea;Ice Cream & Frozen Yogurt,Yes,10:00 AM,11:00 PM,10:00 AM,10:00 PM
Duzan Mediterranean Grill,2411 Steinway StAstoria NY 11103,(718) 204-7488,Middle Eastern;Sandwiches;Vegetarian,Yes,12:00 PM,12:00 AM,12:00 PM,12:00 AM
goa taco,79 Delancey StNew York NY 10002,(347) 276-5103,Fast Food;Tacos;Indian,Yes,12:00 PM,2:00 AM,12:00 PM,10:00 PM
Mamoun’s Falafel,30 St Marks PlNew York NY 10003,(646) 870-5785,Middle Eastern;Falafel,Yes,11:00 AM,5:00 AM,11:00 AM,1:00 AM
